Verkiezing;;Tweede Kamer der Staten-Generaal 2023;;;;;;;;;;;;;;;;;;;;
Datum;;22-11-2023;;;;;;;;;;;;;;;;;;;;
Gebied;;Kieskring Leeuwarden;;;;;;;;;;;;;;;;;;;;
Nummer;;HSB2;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Achtkarspelen;Ameland;Harlingen;Heerenveen;Leeuwarden;Ooststellingwerf;Opsterland;Schiermonnikoog;Smallingerland;Terschelling;Vlieland;Weststellingwerf;Tytsjerksteradiel;Dantumadiel;Súdwest-Fryslân;De Fryske Marren;Waadhoeke;Noardeast-Fryslân
Gebiednummer;;;;;59;60;72;74;80;85;86;88;90;93;96;98;737;1891;1900;1940;1949;1970
;opgeroepenen;;;520759;22141;2977;12825;40859;99600;21081;24001;802;44176;4092;957;21269;25629;15087;71267;41065;36767;36164
;geldig volmachtbewijs;;;35377;1831;337;1000;2407;5753;1387;1655;84;2743;441;65;1500;1868;1204;4866;3020;2439;2777
;geldige kiezerspas;;;3150;22;778;28;88;256;90;42;257;93;579;260;55;61;19;218;122;88;94
;geldige stembiljetten;;;419599;17857;3279;10125;32637;76929;16951;19765;933;34417;3848;967;17194;21440;12392;57790;34337;29616;29122
;blanco stembiljetten;;;849;31;6;27;69;204;38;42;3;70;10;2;31;44;16;91;68;48;49
;ongeldige stembiljetten;;;673;31;5;29;58;132;29;21;2;63;4;1;25;31;20;90;50;40;42
;aangetroffen stembiljetten;;;421121;17919;3290;10181;32764;77265;17018;19828;938;34550;3862;970;17250;21515;12428;57971;34455;29704;29213
;meer stembiljetten dan toegelaten kiezers;;;99;0;1;3;21;19;3;4;0;8;1;0;1;0;1;12;4;5;16
;minder stembiljetten dan toegelaten kiezers;;;122;0;0;3;25;10;1;1;0;12;0;0;0;1;27;11;1;5;25
;kiezers met stembiljet hebben niet gestemd;;;29;0;0;0;3;0;0;1;0;0;0;0;0;0;22;1;1;0;1
;er zijn te weinig stembiljetten uitgereikt;;;15;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;10
;er zijn te veel stembiljetten uitgereikt;;;17;0;0;0;0;0;0;2;0;0;0;0;0;0;1;2;0;0;12
;geen verklaring;;;98;0;1;6;2;25;4;2;0;18;1;0;1;1;0;18;1;0;18
;andere verklaring;;;42;0;0;0;35;3;0;0;0;0;0;0;0;0;1;1;0;2;0
1;VVD;;;47098;1225;530;1360;4571;8662;1763;2084;144;3510;663;162;2093;2028;807;7223;4641;3321;2311
;;1;Yeşilgöz, D.;39603;1038;480;1196;3807;7000;1494;1728;123;2967;565;134;1851;1674;669;6162;3952;2779;1984
;;2;Hermans, S.T.M.;1465;40;5;30;155;269;50;89;5;133;28;7;65;55;27;223;140;84;60
;;3;Becker, B.;306;10;4;16;26;55;15;12;0;24;7;1;18;12;5;43;21;21;16
;;4;van der Burg, E.;497;12;4;9;48;117;22;22;1;32;11;2;27;21;3;86;35;29;16
;;5;van der Wal-Zeggelink, C.;145;3;0;4;21;23;6;9;1;10;4;1;4;9;2;16;19;5;8
;;6;Brekelmans, R.P.;152;0;1;3;19;27;8;3;2;20;1;1;7;5;4;26;14;7;4
;;7;Heinen, E.;44;2;1;1;4;6;0;2;0;0;0;0;2;1;1;10;7;3;4
;;8;de Vries, A.;3165;75;26;65;279;788;92;137;6;199;30;9;62;176;72;443;263;304;139
;;9;Kamminga, R.J.;111;8;2;0;12;15;7;4;0;10;3;2;6;4;3;13;11;3;8
;;10;Paul, M.L.J.;23;0;0;0;1;7;0;1;0;3;0;0;0;1;2;4;2;1;1
;;11;Erkens, S.P.A.;20;0;0;0;1;4;0;2;0;2;0;0;0;0;1;5;1;3;1
