"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Groningen"
"Nummer";;"HSB1"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Groningen";"Stadskanaal";"Veendam";"Pekela";"Oldambt";"Westerwolde";"Midden-Groningen";"Het Hogeland";"Westerkwartier";"Eemsdelta"
"Gebiednummer";;;;;"0014";"0037";"0047";"0765";"1895";"1950";"1952";"1966";"1969";"1979"
;"opgeroepenen";;;"467390";"183403";"25828";"22159";"9774";"31919";"20444";"48846";"38347";"50595";"36075"
;"geldig volmachtbewijs";;;"29722";"10014";"1804";"1596";"690";"2242";"1473";"3249";"2724";"3588";"2342"
;"geldige kiezerspas";;;"2747";"660";"35";"38";"13";"77";"83";"1526";"163";"75";"77"
;"geldige stembiljetten";;;"365596";"146648";"19335";"16441";"7128";"23631";"15933";"36374";"31423";"42079";"26604"
;"blanco stembiljetten";;;"780";"314";"34";"33";"21";"45";"41";"77";"73";"75";"67"
;"ongeldige stembiljetten";;;"681";"300";"39";"37";"17";"39";"19";"65";"51";"59";"55"
;"aangetroffen stembiljetten";;;"367057";"147262";"19408";"16511";"7166";"23715";"15993";"36516";"31547";"42213";"26726"
;"meer stembiljetten dan toegelaten kiezers";;;"79";"52";"2";"4";"0";"2";"0";"5";"4";"3";"7"
;"minder stembiljetten dan toegelaten kiezers";;;"191";"55";"2";"9";"1";"18";"3";"76";"14";"5";"8"
;"kiezers met stembiljet hebben niet gestemd";;;"36";"2";"2";"9";"1";"0";"0";"17";"2";"1";"2"
;"er zijn te weinig stembiljetten uitgereikt";;;"60";"1";"0";"0";"0";"0";"0";"58";"0";"0";"1"
;"er zijn te veel stembiljetten uitgereikt";;;"21";"6";"2";"4";"0";"0";"0";"3";"1";"0";"5"
;"geen verklaring";;;"134";"92";"0";"0";"0";"19";"2";"0";"10";"6";"5"
;"andere verklaring";;;"8";"6";"0";"0";"0";"0";"0";"0";"1";"1";"0"
"1";"VVD";;;"36092";"15573";"1624";"1737";"432";"2351";"1395";"3838";"2658";"4100";"2384"
;;"1";"Yeşilgöz, D.";"28698";"12077";"1366";"1342";"360";"1895";"1198";"2907";"2219";"3385";"1949"
;;"2";"Hermans, S.T.M.";"1169";"598";"38";"41";"16";"80";"31";"100";"66";"150";"49"
;;"3";"Becker, B.";"268";"158";"10";"8";"5";"12";"10";"28";"9";"20";"8"
;;"4";"van der Burg, E.";"547";"365";"18";"12";"3";"19";"20";"34";"20";"40";"16"
;;"5";"van der Wal-Zeggelink, C.";"117";"71";"3";"0";"1";"7";"7";"11";"2";"11";"4"
;;"6";"Brekelmans, R.P.";"194";"123";"4";"5";"0";"9";"4";"14";"14";"14";"7"
;;"7";"Heinen, E.";"54";"40";"1";"2";"0";"4";"0";"2";"1";"2";"2"
;;"8";"de Vries, A.";"305";"173";"8";"7";"0";"4";"5";"8";"12";"80";"8"
;;"9";"Kamminga, R.J.";"2683";"817";"121";"252";"34";"234";"83";"511";"189";"201";"241"
;;"10";"Paul, M.L.J.";"61";"36";"0";"3";"0";"2";"1";"2";"11";"6";"0"
;;"11";"Erkens, S.P.A.";"53";"14";"0";"1";"0";"3";"2";"11";"4";"5";"13"
;;"12";"Rajkowski, Q.M.";"41";"24";"1";"2";"0";"1";"0";"3";"2";"3";"5"
;;"13";"Aartsen, A.A.";"27";"17";"0";"3";"0";"1";"0";"0";"1";"2";"3"
;;"14";"van Campen, A.A.H.";"68";"42";"1";"3";"0";"3";"1";"0";"13";"5";"0"
;;"15";"Tielen, J.Z.C.M.";"29";"17";"1";"2";"0";"1";"0";"0";"1";"5";"2"
;;"16";"Veltman-Kamp, H.N.";"14";"8";"0";"0";"0";"0";"0";"0";"3";"1";"2"
;;"17";"van Eijk-Nagel, W.P.J.";"13";"7";"2";"1";"0";"0";"1";"1";"0";"1";"0"
;;"18";"Ellian, U.";"32";"17";"0";"1";"0";"3";"0";"2";"0";"7";"2"
;;"19";"Michon-Derkzen, I.J.M.";"14";"7";"1";"0";"1";"2";"0";"3";"0";"0";"0"
;;"20";"Martens-America, C.";"21";"16";"0";"0";"0";"1";"0";"0";"3";"1";"0"
;;"21";"Meulenkamp, W.J.H.";"18";"15";"0";"0";"0";"0";"0";"0";"2";"0";"1"
;;"22";"de Groot, P.C.";"25";"13";"0";"0";"0";"1";"3";"3";"2";"3";"0"
;;"23";"Kisteman, A.";"30";"16";"3";"1";"1";"0";"0";"1";"4";"3";"1"
;;"24";"de Kort, A.H.J.";"7";"6";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"25";"van den Hil, J.";"29";"18";"0";"0";"0";"1";"0";"5";"2";"2";"1"
;;"26";"Valstar, P.J.";"18";"9";"0";"0";"1";"1";"2";"1";"1";"2";"1"
;;"27";"Bevers, H.";"48";"31";"2";"0";"0";"1";"0";"2";"1";"11";"0"
;;"28";"Buijsse, M.R.G.";"15";"9";"0";"0";"0";"0";"0";"3";"2";"1";"0"
;;"29";"Dral, R.M.";"74";"58";"2";"0";"0";"1";"2";"3";"0";"3";"5"
;;"30";"Bikkers, B.T.";"4";"2";"0";"0";"1";"0";"0";"0";"0";"1";"0"
;;"31";"Verkuijlen, R.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"32";"Richardson, S.M.";"30";"22";"0";"2";"1";"1";"1";"1";"0";"2";"0"
;;"33";"de Beer, M.E.E.";"6";"3";"0";"0";"0";"0";"0";"2";"0";"1";"0"
;;"34";"van Strien, P.J.T.";"6";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"35";"Hartsuiker, R.J.J.";"61";"27";"8";"2";"3";"2";"3";"6";"4";"6";"0"
;;"36";"Klein Lankhorst, H.";"16";"13";"0";"1";"0";"0";"1";"0";"0";"1";"0"
;;"37";"Haverkort, E.A.";"62";"27";"1";"2";"0";"1";"3";"3";"6";"16";"3"
;;"38";"Simons, C.";"5";"3";"1";"0";"0";"0";"0";"1";"0";"0";"0"
;;"39";"Bijenhof, Y.";"13";"12";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"40";"van Groningen, D.A.";"40";"30";"0";"1";"1";"2";"1";"0";"2";"1";"2"
;;"41";"Zeeuw van der Laan, E.M.";"11";"5";"2";"0";"0";"0";"0";"2";"2";"0";"0"
;;"42";"Volkman, Y.";"7";"3";"0";"3";"0";"0";"1";"0";"0";"0";"0"
;;"43";"van Kessel, P.W.";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"Rahimi, H.";"18";"14";"0";"0";"0";"0";"0";"3";"1";"0";"0"
;;"45";"Omlo, B.F.";"4";"2";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"46";"Yizhak Cooremans, R.A.T.";"7";"6";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"47";"Nelisse, R.M.L.";"17";"3";"0";"0";"0";"2";"2";"6";"1";"0";"3"
;;"48";"de Wit, B.G.P.";"8";"6";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"49";"van Meerten-Kok, M.A.";"7";"4";"0";"0";"0";"2";"0";"0";"0";"0";"1"
;;"50";"Hoogezand, B.";"11";"2";"0";"0";"0";"1";"0";"7";"0";"1";"0"
;;"51";"Achterbergh, M.";"11";"6";"0";"1";"0";"0";"0";"0";"3";"1";"0"
;;"52";"Wendel, H.";"759";"472";"16";"23";"1";"40";"9";"37";"43";"83";"35"
;;"53";"Kohli, N.R.";"16";"13";"0";"0";"0";"0";"0";"1";"0";"2";"0"
;;"54";"Klerks, I.C.";"4";"2";"0";"0";"0";"1";"1";"0";"0";"0";"0"
;;"55";"Dijkema, H.M.";"13";"11";"0";"0";"0";"1";"0";"0";"0";"1";"0"
;;"56";"Elkerbout, A.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"57";"van Rijn, D.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"58";"Aptroot, B.W.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"59";"de Regt, L.H.P.";"2";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"60";"van Veen, J.";"3";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"61";"Vulpes, M.J.";"153";"17";"2";"6";"1";"2";"1";"103";"3";"5";"13"
;;"62";"van Os, J.L.P.";"4";"2";"1";"0";"0";"0";"0";"0";"0";"1";"0"
;;"63";"van der Klauw, R.A.";"5";"1";"0";"0";"0";"0";"0";"3";"0";"1";"0"
;;"64";"Rahmani, A.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"65";"Bouma, R.A.";"6";"3";"0";"0";"0";"0";"0";"0";"2";"1";"0"
;;"66";"van Berlo, J.T.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"67";"Talens, A.E.";"17";"6";"6";"3";"0";"0";"0";"0";"0";"2";"0"
;;"68";"Bruin, R.N.";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1"
;;"69";"van 't Hull-Bettink, G.D.W.";"2";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"70";"Gadella, J.A.N.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"71";"Vermeulen, D.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
