"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Arnhem"
"Nummer";;"HSB7"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Aalten";"Apeldoorn";"Arnhem";"Barneveld";"Brummen";"Doesburg";"Doetinchem";"Duiven";"Ede";"Elburg";"Epe";"Ermelo";"Harderwijk";"Hattem";"Heerde";"Lochem";"Nijkerk";"Oldebroek";"Putten";"Renkum";"Rheden";"Rozendaal";"Scherpenzeel";"Voorst";"Wageningen";"Westervoort";"Winterswijk";"Zevenaar";"Zutphen";"Nunspeet";"Oude IJsselstreek";"Oost Gelre";"Lingewaard";"Overbetuwe";"Berkelland";"Bronckhorst";"Montferland"
"Gebiednummer";;;;;"0197";"0200";"0202";"0203";"0213";"0221";"0222";"0226";"0228";"0230";"0232";"0233";"0243";"0244";"0246";"0262";"0267";"0269";"0273";"0274";"0275";"0277";"0279";"0285";"0289";"0293";"0294";"0299";"0301";"0302";"1509";"1586";"1705";"1734";"1859";"1876";"1955"
;"opgeroepenen";;;"1215724";"21564";"130493";"124745";"45018";"17340";"9105";"47319";"19976";"92632";"18278";"26594";"21841";"37342";"9813";"15187";"27873";"34253";"18470";"19301";"25273";"34864";"1324";"7757";"20077";"29862";"11923";"23129";"36093";"38933";"22385";"32004";"24108";"37516";"37942";"35773";"29806";"29811"
;"geldig volmachtbewijs";;;"87849";"1430";"9089";"7538";"4690";"1083";"619";"3084";"1377";"8043";"1246";"1794";"1446";"3036";"775";"1174";"1952";"2959";"1534";"1657";"1836";"2032";"150";"683";"1449";"1761";"785";"1517";"2472";"2233";"1935";"2036";"1633";"2956";"2901";"2592";"2050";"2302"
;"geldige kiezerspas";;;"4888";"54";"672";"300";"245";"195";"27";"102";"52";"317";"59";"300";"134";"102";"24";"42";"227";"82";"117";"172";"106";"217";"7";"39";"45";"164";"14";"88";"72";"229";"127";"60";"59";"62";"58";"104";"84";"130"
;"geldige stembiljetten";;;"983417";"17746";"101318";"89130";"39240";"14131";"6993";"37001";"16247";"76555";"15588";"21776";"17976";"29963";"8479";"12738";"23932";"28841";"15669";"16731";"20903";"27701";"1249";"6717";"16913";"24798";"9258";"18622";"28402";"31004";"19055";"25604";"20329";"31074";"31313";"30595";"25537";"24289"
;"blanco stembiljetten";;;"1481";"19";"167";"199";"32";"27";"7";"58";"28";"89";"10";"30";"29";"43";"11";"20";"32";"33";"15";"16";"36";"35";"2";"1";"23";"64";"15";"28";"49";"65";"30";"29";"26";"52";"37";"37";"39";"48"
;"ongeldige stembiljetten";;;"1672";"16";"233";"211";"50";"30";"13";"69";"20";"151";"21";"21";"30";"45";"11";"17";"30";"39";"24";"23";"30";"55";"3";"8";"25";"37";"21";"38";"71";"49";"22";"48";"15";"37";"43";"37";"26";"53"
;"aangetroffen stembiljetten";;;"986570";"17781";"101718";"89540";"39322";"14188";"7013";"37128";"16295";"76795";"15619";"21827";"18035";"30051";"8501";"12775";"23994";"28913";"15708";"16770";"20969";"27791";"1254";"6726";"16961";"24899";"9294";"18688";"28522";"31118";"19107";"25681";"20370";"31163";"31393";"30669";"25602";"24390"
;"meer stembiljetten dan toegelaten kiezers";;;"178";"0";"10";"11";"13";"2";"0";"8";"0";"42";"0";"11";"1";"4";"0";"2";"0";"3";"5";"1";"2";"3";"0";"0";"0";"9";"0";"1";"2";"4";"2";"1";"12";"2";"16";"1";"1";"9"
;"minder stembiljetten dan toegelaten kiezers";;;"280";"1";"32";"15";"5";"1";"0";"6";"1";"46";"9";"21";"7";"9";"1";"3";"0";"10";"8";"3";"1";"20";"0";"5";"2";"5";"1";"1";"4";"15";"1";"3";"25";"3";"9";"1";"1";"5"
;"kiezers met stembiljet hebben niet gestemd";;;"62";"0";"0";"4";"1";"0";"0";"1";"1";"6";"6";"0";"0";"1";"1";"0";"0";"1";"0";"0";"1";"16";"0";"5";"2";"2";"1";"0";"2";"1";"0";"2";"2";"3";"2";"0";"1";"0"
;"er zijn te weinig stembiljetten uitgereikt";;;"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"1";"0";"0";"2"
;"er zijn te veel stembiljetten uitgereikt";;;"32";"0";"0";"1";"3";"2";"0";"1";"0";"4";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"1";"0";"10";"1";"1";"1"
