"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Assen"
"Nummer";;"HSB3"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Assen";"Coevorden";"Emmen";"Hoogeveen";"Meppel";"Aa en Hunze";"Borger-Odoorn";"De Wolden";"Noordenveld";"Westerveld";"Tynaarlo";"Midden-Drenthe"
"Gebiednummer";;;;;"0106";"0109";"0114";"0118";"0119";"1680";"1681";"1690";"1699";"1701";"1730";"1731"
;"opgeroepenen";;;"400588";"54184";"28863";"87136";"43877";"27588";"21059";"21196";"19815";"25687";"16597";"26933";"27653"
;"geldig volmachtbewijs";;;"28172";"3295";"1952";"6572";"3280";"1585";"1471";"1455";"1501";"1707";"1211";"1919";"2224"
;"geldige kiezerspas";;;"2122";"261";"257";"235";"66";"52";"185";"278";"77";"86";"250";"158";"217"
;"geldige stembiljetten";;;"324893";"42482";"23524";"66974";"34468";"22557";"17864";"17370";"17257";"21663";"14305";"23045";"23384"
;"blanco stembiljetten";;;"506";"78";"27";"123";"47";"32";"33";"38";"17";"25";"17";"34";"35"
;"ongeldige stembiljetten";;;"539";"70";"46";"110";"70";"49";"21";"22";"30";"32";"12";"34";"43"
;"aangetroffen stembiljetten";;;"325938";"42630";"23597";"67207";"34585";"22638";"17918";"17430";"17304";"21720";"14334";"23113";"23462"
;"meer stembiljetten dan toegelaten kiezers";;;"38";"16";"2";"1";"4";"0";"0";"2";"5";"0";"1";"6";"1"
;"minder stembiljetten dan toegelaten kiezers";;;"164";"52";"8";"47";"3";"5";"8";"12";"3";"14";"6";"5";"1"
;"kiezers met stembiljet hebben niet gestemd";;;"11";"0";"1";"6";"0";"1";"0";"2";"0";"0";"0";"0";"1"
;"er zijn te weinig stembiljetten uitgereikt";;;"2";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;"er zijn te veel stembiljetten uitgereikt";;;"3";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1"
;"geen verklaring";;;"151";"66";"4";"24";"6";"3";"4";"11";"5";"14";"3";"11";"0"
;"andere verklaring";;;"17";"2";"2";"5";"0";"1";"0";"0";"3";"0";"4";"0";"0"
"1";"VVD";;;"40761";"5298";"3164";"6671";"3284";"3125";"2898";"2196";"2634";"2981";"2001";"3740";"2769"
;;"1";"Yeşilgöz, D.";"34325";"4498";"2632";"5680";"2831";"2670";"2370";"1844";"2230";"2457";"1733";"3021";"2359"
;;"2";"Hermans, S.T.M.";"1313";"175";"85";"230";"114";"98";"86";"68";"67";"90";"58";"141";"101"
;;"3";"Becker, B.";"250";"29";"11";"38";"26";"23";"12";"21";"12";"20";"15";"22";"21"
;;"4";"van der Burg, E.";"464";"67";"30";"69";"39";"43";"36";"24";"28";"37";"15";"49";"27"
