"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Nijmegen"
"Nummer";;"HSB6"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Beuningen";"Buren";"Culemborg";"Druten";"Heumen";"Maasdriel";"Nijmegen";"Tiel";"Wijchen";"Zaltbommel";"West Maas en Waal";"Neder-Betuwe";"Berg en Dal";"West Betuwe"
"Gebiednummer";;;;;"0209";"0214";"0216";"0225";"0252";"0263";"0268";"0281";"0296";"0297";"0668";"1740";"1945";"1960"
;"opgeroepenen";;;"448218";"21077";"21624";"22687";"15410";"13343";"19313";"144277";"31878";"33065";"22187";"16077";"18137";"28637";"40506"
;"geldig volmachtbewijs";;;"36518";"1612";"1984";"1983";"1236";"1041";"1997";"9260";"2843";"2736";"2005";"1453";"2434";"2119";"3815"
;"geldige kiezerspas";;;"1183";"45";"38";"61";"22";"37";"33";"548";"47";"66";"62";"28";"39";"83";"74"
;"geldige stembiljetten";;;"361569";"17131";"18057";"18375";"12448";"11351";"16104";"112362";"23288";"27182";"18404";"13461";"15505";"23495";"34406"
;"blanco stembiljetten";;;"651";"40";"20";"25";"16";"19";"21";"271";"53";"53";"20";"21";"11";"43";"38"
;"ongeldige stembiljetten";;;"635";"24";"22";"47";"25";"12";"15";"221";"51";"43";"29";"23";"33";"47";"43"
;"aangetroffen stembiljetten";;;"362855";"17195";"18099";"18447";"12489";"11382";"16140";"112854";"23392";"27278";"18453";"13505";"15549";"23585";"34487"
;"meer stembiljetten dan toegelaten kiezers";;;"76";"3";"1";"3";"0";"6";"2";"41";"2";"10";"2";"0";"0";"1";"5"
;"minder stembiljetten dan toegelaten kiezers";;;"115";"2";"2";"11";"1";"0";"6";"56";"2";"15";"1";"13";"1";"1";"4"
;"kiezers met stembiljet hebben niet gestemd";;;"20";"2";"0";"3";"0";"0";"3";"1";"2";"4";"1";"3";"0";"0";"1"
;"er zijn te weinig stembiljetten uitgereikt";;;"3";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;"er zijn te veel stembiljetten uitgereikt";;;"8";"0";"1";"2";"0";"0";"1";"0";"1";"0";"2";"0";"0";"1";"0"
;"geen verklaring";;;"145";"0";"0";"3";"1";"6";"4";"90";"1";"21";"0";"10";"0";"1";"8"
;"andere verklaring";;;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1";"VVD";;;"52276";"3408";"3239";"2723";"2263";"2027";"3044";"10982";"3743";"5132";"2568";"2586";"1431";"3449";"5681"
;;"1";"Yeşilgöz, D.";"46144";"3082";"2866";"2369";"2030";"1823";"2756";"9231";"3282";"4615";"2285";"2345";"1280";"3175";"5005"
;;"2";"Hermans, S.T.M.";"2335";"132";"155";"140";"111";"83";"123";"538";"179";"234";"88";"103";"78";"98";"273"
;;"3";"Becker, B.";"446";"24";"20";"30";"17";"10";"19";"115";"33";"39";"22";"31";"14";"17";"55"
;;"4";"van der Burg, E.";"740";"38";"31";"39";"27";"34";"26";"237";"63";"66";"44";"29";"10";"29";"67"
;;"5";"van der Wal-Zeggelink, C.";"275";"16";"20";"10";"13";"10";"7";"95";"21";"24";"14";"3";"4";"11";"27"
;;"6";"Brekelmans, R.P.";"359";"22";"15";"11";"9";"13";"43";"99";"20";"28";"21";"12";"8";"14";"44"
;;"7";"Heinen, E.";"74";"0";"6";"4";"2";"1";"1";"16";"8";"10";"5";"5";"2";"0";"14"
;;"8";"de Vries, A.";"130";"9";"9";"10";"4";"6";"4";"35";"14";"8";"8";"6";"1";"4";"12"
;;"9";"Kamminga, R.J.";"50";"4";"1";"6";"1";"3";"2";"15";"5";"1";"0";"2";"1";"4";"5"
;;"10";"Paul, M.L.J.";"54";"4";"5";"2";"2";"3";"2";"16";"4";"4";"2";"1";"3";"3";"3"
;;"11";"Erkens, S.P.A.";"83";"4";"1";"3";"0";"5";"5";"36";"4";"8";"3";"0";"2";"5";"7"
;;"12";"Rajkowski, Q.M.";"108";"2";"10";"14";"2";"0";"4";"27";"14";"8";"1";"3";"1";"8";"14"
;;"13";"Aartsen, A.A.";"47";"3";"2";"4";"2";"1";"0";"22";"0";"1";"0";"0";"3";"1";"8"
;;"14";"van Campen, A.A.H.";"34";"3";"0";"6";"0";"0";"1";"15";"1";"1";"0";"1";"1";"2";"3"
;;"15";"Tielen, J.Z.C.M.";"99";"3";"16";"10";"2";"1";"2";"26";"9";"2";"4";"2";"3";"4";"15"
;;"16";"Veltman-Kamp, H.N.";"75";"4";"4";"1";"2";"2";"2";"27";"6";"5";"5";"6";"5";"2";"4"
;;"17";"van Eijk-Nagel, W.P.J.";"48";"0";"1";"0";"1";"2";"2";"26";"1";"6";"2";"2";"0";"2";"3"
;;"18";"Ellian, U.";"50";"5";"3";"4";"0";"1";"4";"14";"5";"3";"1";"2";"0";"2";"6"
;;"19";"Michon-Derkzen, I.J.M.";"24";"1";"1";"4";"1";"0";"3";"4";"2";"2";"2";"0";"0";"2";"2"
;;"20";"Martens-America, C.";"32";"0";"1";"2";"1";"1";"3";"12";"2";"0";"2";"0";"0";"3";"5"
;;"21";"Meulenkamp, W.J.H.";"12";"0";"0";"1";"0";"0";"0";"3";"1";"2";"1";"1";"1";"2";"0"
;;"22";"de Groot, P.C.";"35";"1";"3";"2";"0";"0";"1";"15";"3";"1";"0";"1";"0";"5";"3"
;;"23";"Kisteman, A.";"17";"2";"0";"4";"2";"0";"0";"6";"1";"0";"1";"0";"0";"0";"1"
;;"24";"de Kort, A.H.J.";"46";"9";"3";"2";"1";"1";"2";"17";"1";"3";"3";"1";"0";"2";"1"
;;"25";"van den Hil, J.";"76";"4";"4";"1";"0";"1";"1";"30";"6";"7";"3";"1";"2";"9";"7"
;;"26";"Valstar, P.J.";"28";"0";"4";"1";"1";"2";"3";"4";"2";"1";"7";"1";"0";"2";"0"
;;"27";"Bevers, H.";"12";"0";"1";"0";"0";"1";"1";"8";"0";"0";"0";"0";"0";"0";"1"
;;"28";"Buijsse, M.R.G.";"37";"2";"1";"1";"5";"3";"2";"18";"2";"1";"0";"2";"0";"0";"0"
;;"29";"Dral, R.M.";"88";"3";"2";"1";"8";"0";"1";"47";"3";"3";"7";"4";"0";"4";"5"
;;"30";"Bikkers, B.T.";"11";"1";"0";"1";"0";"0";"0";"5";"1";"0";"1";"0";"0";"1";"1"
;;"31";"Verkuijlen, R.";"8";"0";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0";"2";"0";"2"
;;"32";"Richardson, S.M.";"47";"2";"1";"2";"1";"0";"4";"17";"9";"1";"0";"1";"1";"2";"6"
;;"33";"de Beer, M.E.E.";"16";"0";"1";"1";"1";"0";"0";"8";"0";"3";"0";"0";"0";"1";"1"
;;"34";"van Strien, P.J.T.";"9";"1";"0";"0";"0";"2";"0";"2";"0";"0";"1";"1";"1";"0";"1"
;;"35";"Hartsuiker, R.J.J.";"7";"0";"2";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"2";"0"
;;"36";"Klein Lankhorst, H.";"18";"1";"1";"2";"1";"0";"0";"8";"0";"2";"1";"0";"0";"0";"2"
;;"37";"Haverkort, E.A.";"16";"2";"0";"1";"1";"0";"0";"6";"3";"1";"0";"0";"0";"0";"2"
;;"38";"Simons, C.";"4";"0";"0";"0";"0";"1";"0";"2";"1";"0";"0";"0";"0";"0";"0"
;;"39";"Bijenhof, Y.";"20";"0";"1";"0";"1";"0";"0";"15";"0";"1";"0";"0";"0";"0";"2"
;;"40";"van Groningen, D.A.";"14";"0";"0";"2";"0";"0";"2";"3";"1";"0";"2";"0";"0";"1";"3"
;;"41";"Zeeuw van der Laan, E.M.";"11";"0";"2";"1";"0";"0";"2";"3";"0";"0";"2";"0";"0";"0";"1"
;;"42";"Volkman, Y.";"9";"0";"1";"1";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"3"
;;"43";"van Kessel, P.W.";"3";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0"
;;"44";"Rahimi, H.";"41";"0";"2";"7";"0";"4";"1";"17";"3";"0";"1";"3";"0";"1";"2"
;;"45";"Omlo, B.F.";"23";"2";"4";"0";"1";"0";"0";"6";"3";"2";"1";"1";"2";"1";"0"
;;"46";"Yizhak Cooremans, R.A.T.";"7";"1";"0";"0";"0";"0";"1";"1";"2";"0";"2";"0";"0";"0";"0"
;;"47";"Nelisse, R.M.L.";"26";"0";"7";"1";"0";"0";"0";"4";"4";"1";"3";"1";"0";"2";"3"
;;"48";"de Wit, B.G.P.";"12";"0";"0";"2";"0";"0";"0";"5";"0";"1";"0";"0";"1";"1";"2"
;;"49";"van Meerten-Kok, M.A.";"7";"0";"0";"1";"1";"0";"0";"2";"1";"0";"0";"2";"0";"0";"0"
;;"50";"Hoogezand, B.";"3";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1"
;;"51";"Achterbergh, M.";"2";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"52";"Wendel, H.";"20";"0";"1";"1";"0";"1";"0";"7";"2";"2";"3";"0";"0";"0";"3"
;;"53";"Kohli, N.R.";"14";"1";"1";"1";"0";"0";"0";"5";"2";"0";"0";"0";"0";"0";"4"
;;"54";"Klerks, I.C.";"16";"1";"0";"0";"0";"0";"2";"5";"0";"2";"6";"0";"0";"0";"0"
;;"55";"Dijkema, H.M.";"50";"6";"1";"0";"4";"6";"0";"25";"0";"2";"0";"0";"0";"6";"0"
;;"56";"Elkerbout, A.";"13";"0";"0";"2";"0";"0";"0";"6";"0";"0";"0";"0";"1";"0";"4"
;;"57";"van Rijn, D.";"7";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"2";"0";"2"
;;"58";"Aptroot, B.W.";"5";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"1";"0"
;;"59";"de Regt, L.H.P.";"4";"1";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"60";"van Veen, J.";"3";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"61";"Vulpes, M.J.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"62";"van Os, J.L.P.";"5";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"3"
;;"63";"van der Klauw, R.A.";"30";"0";"4";"1";"0";"0";"1";"1";"0";"0";"2";"0";"0";"0";"21"
;;"64";"Rahmani, A.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"65";"Bouma, R.A.";"2";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"66";"van Berlo, J.T.M.";"15";"0";"0";"0";"1";"1";"2";"8";"0";"0";"0";"1";"0";"2";"0"
;;"67";"Talens, A.E.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"68";"Bruin, R.N.";"2";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0"
;;"69";"van 't Hull-Bettink, G.D.W.";"4";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"1";"0";"0";"0"
;;"70";"Gadella, J.A.N.";"8";"0";"2";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"2"
;;"71";"Vermeulen, D.";"13";"0";"2";"2";"0";"0";"0";"2";"2";"2";"0";"1";"0";"0";"2"
;;"72";"van Noort-Cnossen, M.G.";"3";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"73";"Van der Sanden, M.M.E.";"8";"0";"2";"2";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"1"
;;"74";"Rodoe, H.";"26";"1";"0";"0";"0";"3";"0";"10";"0";"4";"0";"1";"0";"7";"0"
;;"75";"Schollink, C.D.";"7";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"5"
;;"76";"de Wolff, I.";"5";"1";"0";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0"
;;"77";"de Boer, Y.";"4";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"1";"0"
;;"78";"Yildirim, M.";"4";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"1"
;;"79";"Mulder, H.";"16";"1";"0";"0";"0";"0";"0";"7";"3";"2";"0";"0";"0";"1";"2"
;;"80";"van der Weijden, M.";"116";"7";"14";"5";"5";"1";"9";"21";"5";"20";"8";"4";"2";"7";"8"
"2";"D66";;;"25202";"1153";"814";"1262";"708";"986";"633";"11700";"1174";"1819";"913";"637";"250";"1687";"1466"
;;"1";"Jetten, R.A.A.";"17835";"899";"582";"839";"541";"766";"465";"7802";"811";"1391";"642";"486";"193";"1400";"1018"
;;"2";"Paternotte, J.M.";"515";"18";"34";"40";"15";"20";"15";"197";"41";"28";"19";"12";"1";"24";"51"
;;"3";"Vijlbrief, J.A.";"197";"5";"5";"16";"7";"6";"4";"76";"13";"18";"12";"2";"0";"13";"20"
;;"4";"Podt, A.";"2205";"91";"91";"157";"56";"72";"69";"953";"118";"164";"108";"64";"20";"76";"166"
;;"5";"Sneller, J.C.";"49";"3";"3";"4";"2";"0";"2";"21";"2";"2";"1";"1";"1";"1";"6"
;;"6";"Rooderkerk, I.";"351";"13";"10";"22";"13";"4";"6";"186";"19";"15";"8";"6";"4";"20";"25"
;;"7";"Paulusma, W.";"238";"5";"7";"20";"4";"6";"6";"110";"21";"12";"12";"3";"2";"9";"21"
;;"8";"van der Werf, J.J.";"266";"7";"7";"16";"3";"9";"8";"153";"15";"8";"11";"5";"2";"7";"15"
;;"9";"Bamenga, P.";"103";"3";"0";"6";"2";"2";"3";"63";"2";"7";"10";"1";"1";"0";"3"
;;"10";"de Groot, T.C.";"133";"13";"2";"9";"3";"3";"2";"68";"4";"7";"4";"0";"2";"9";"7"
;;"11";"Synhaeve, M.";"1573";"52";"11";"8";"25";"65";"9";"1160";"27";"85";"16";"22";"7";"62";"24"
;;"12";"van Ginneken, L.M.";"304";"7";"6";"19";"4";"3";"5";"190";"16";"16";"10";"3";"3";"8";"14"
;;"13";"Belhaj, S.";"116";"2";"3";"16";"2";"3";"2";"60";"5";"5";"2";"2";"1";"5";"8"
;;"14";"Boulakjar, F.";"27";"2";"1";"1";"0";"0";"0";"19";"2";"0";"0";"1";"0";"0";"1"
;;"15";"Sahla, F.";"47";"3";"1";"6";"3";"0";"1";"20";"2";"3";"1";"0";"0";"0";"7"
;;"16";"Klos, F.C.O.";"18";"3";"0";"2";"0";"0";"0";"8";"0";"0";"0";"4";"0";"0";"1"
;;"17";"Kat, H.";"55";"0";"1";"1";"0";"1";"1";"28";"10";"3";"1";"0";"1";"3";"5"
;;"18";"Warmerdam, S.";"13";"1";"3";"0";"0";"0";"0";"6";"1";"0";"0";"0";"0";"2";"0"
;;"19";"Alberg, S.T.";"32";"1";"1";"1";"3";"0";"0";"18";"3";"0";"0";"1";"1";"1";"2"
;;"20";"Hammelburg, A.R.";"13";"0";"0";"2";"0";"0";"0";"9";"0";"0";"1";"1";"0";"0";"0"
;;"21";"Hollander, J.";"38";"0";"3";"2";"2";"0";"0";"21";"0";"3";"2";"0";"0";"2";"3"
;;"22";"ten Dolle, L.";"117";"1";"2";"3";"3";"2";"4";"69";"10";"9";"2";"0";"1";"6";"5"
;;"23";"Blommers, D.";"11";"0";"1";"1";"1";"0";"0";"4";"1";"1";"0";"0";"0";"1";"1"
;;"24";"van Breugel, C.";"60";"1";"0";"3";"0";"1";"1";"46";"2";"1";"0";"2";"1";"1";"1"
;;"25";"Teunissen, J.C.M.";"10";"0";"0";"0";"0";"1";"1";"3";"1";"0";"0";"1";"0";"1";"2"
;;"26";"Çimen, M.";"27";"0";"1";"1";"0";"0";"0";"16";"6";"1";"2";"0";"0";"0";"0"
;;"27";"Oualhadj, A.";"14";"0";"0";"1";"0";"2";"0";"7";"2";"0";"2";"0";"0";"0";"0"
;;"28";"Putuhena, M.";"21";"0";"2";"12";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"4"
;;"29";"Keij, E.J.";"11";"0";"0";"1";"1";"0";"0";"3";"1";"1";"1";"2";"0";"0";"1"
;;"30";"Brink, V.J.";"24";"0";"1";"4";"0";"2";"0";"7";"0";"4";"0";"3";"0";"2";"1"
;;"31";"van Dorst, P.A.";"5";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"2"
;;"32";"Wijnja, G.H.";"3";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"33";"de Vries, M.M.";"9";"1";"1";"0";"0";"0";"0";"5";"1";"0";"0";"0";"0";"0";"1"
