"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring 's-Gravenhage"
"Nummer";;"HSB12"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"'s-Gravenhage"
"Gebiednummer";;;;;"0518"
;"opgeroepenen";;;"357606";"357606"
;"geldig volmachtbewijs";;;"28465";"28465"
;"geldige kiezerspas";;;"1133";"1133"
;"geldige stembiljetten";;;"244439";"244439"
;"blanco stembiljetten";;;"560";"560"
;"ongeldige stembiljetten";;;"1033";"1033"
;"aangetroffen stembiljetten";;;"246032";"246032"
;"meer stembiljetten dan toegelaten kiezers";;;"679";"679"
;"minder stembiljetten dan toegelaten kiezers";;;"716";"716"
;"kiezers met stembiljet hebben niet gestemd";;;"12";"12"
;"er zijn te weinig stembiljetten uitgereikt";;;"0";"0"
;"er zijn te veel stembiljetten uitgereikt";;;"11";"11"
;"geen verklaring";;;"188";"188"
;"andere verklaring";;;"1178";"1178"
"1";"VVD";;;"36948";"36948"
;;"1";"Yeşilgöz, D.";"30776";"30776"
;;"2";"Hermans, S.T.M.";"1487";"1487"
;;"3";"Becker, B.";"704";"704"
;;"4";"van der Burg, E.";"540";"540"
;;"5";"van der Wal-Zeggelink, C.";"230";"230"
;;"6";"Brekelmans, R.P.";"293";"293"
;;"7";"Heinen, E.";"541";"541"
;;"8";"de Vries, A.";"117";"117"
;;"9";"Kamminga, R.J.";"65";"65"
;;"10";"Paul, M.L.J.";"92";"92"
;;"11";"Erkens, S.P.A.";"61";"61"
;;"12";"Rajkowski, Q.M.";"98";"98"
;;"13";"Aartsen, A.A.";"41";"41"
;;"14";"van Campen, A.A.H.";"32";"32"
;;"15";"Tielen, J.Z.C.M.";"39";"39"
;;"16";"Veltman-Kamp, H.N.";"18";"18"
;;"17";"van Eijk-Nagel, W.P.J.";"28";"28"
;;"18";"Ellian, U.";"85";"85"
;;"19";"Michon-Derkzen, I.J.M.";"346";"346"
;;"20";"Martens-America, C.";"29";"29"
;;"21";"Meulenkamp, W.J.H.";"8";"8"
;;"22";"de Groot, P.C.";"53";"53"
;;"23";"Kisteman, A.";"20";"20"
;;"24";"de Kort, A.H.J.";"20";"20"
;;"25";"van den Hil, J.";"57";"57"
;;"26";"Valstar, P.J.";"100";"100"
;;"27";"Bevers, H.";"14";"14"
;;"28";"Buijsse, M.R.G.";"7";"7"
;;"29";"Dral, R.M.";"58";"58"
;;"30";"Bikkers, B.T.";"14";"14"
;;"31";"Verkuijlen, R.";"3";"3"
;;"32";"Richardson, S.M.";"46";"46"
;;"33";"de Beer, M.E.E.";"8";"8"
;;"34";"van Strien, P.J.T.";"20";"20"
;;"35";"Hartsuiker, R.J.J.";"12";"12"
;;"36";"Klein Lankhorst, H.";"20";"20"
;;"37";"Haverkort, E.A.";"15";"15"
;;"38";"Simons, C.";"9";"9"
;;"39";"Bijenhof, Y.";"17";"17"
;;"40";"van Groningen, D.A.";"41";"41"
;;"41";"Zeeuw van der Laan, E.M.";"14";"14"
;;"42";"Volkman, Y.";"16";"16"
;;"43";"van Kessel, P.W.";"2";"2"
;;"44";"Rahimi, H.";"54";"54"
;;"45";"Omlo, B.F.";"3";"3"
;;"46";"Yizhak Cooremans, R.A.T.";"13";"13"
;;"47";"Nelisse, R.M.L.";"13";"13"
;;"48";"de Wit, B.G.P.";"10";"10"
;;"49";"van Meerten-Kok, M.A.";"17";"17"
;;"50";"Hoogezand, B.";"8";"8"
;;"51";"Achterbergh, M.";"3";"3"
;;"52";"Wendel, H.";"17";"17"
;;"53";"Kohli, N.R.";"325";"325"
;;"54";"Klerks, I.C.";"11";"11"
;;"55";"Dijkema, H.M.";"12";"12"
;;"56";"Elkerbout, A.";"10";"10"
;;"57";"van Rijn, D.";"8";"8"
;;"58";"Aptroot, B.W.";"16";"16"
;;"59";"de Regt, L.H.P.";"13";"13"
;;"60";"van Veen, J.";"1";"1"
;;"61";"Vulpes, M.J.";"2";"2"
;;"62";"van Os, J.L.P.";"1";"1"
;;"63";"van der Klauw, R.A.";"5";"5"
;;"64";"Rahmani, A.";"30";"30"
;;"65";"Bouma, R.A.";"1";"1"
;;"66";"van Berlo, J.T.M.";"9";"9"
;;"67";"Talens, A.E.";"4";"4"
;;"68";"Bruin, R.N.";"6";"6"
;;"69";"van 't Hull-Bettink, G.D.W.";"6";"6"
;;"70";"Gadella, J.A.N.";"1";"1"
;;"71";"Vermeulen, D.";"6";"6"
;;"72";"van Noort-Cnossen, M.G.";"0";"0"
;;"73";"Van der Sanden, M.M.E.";"3";"3"
;;"74";"Rodoe, H.";"1";"1"
;;"75";"Schollink, C.D.";"1";"1"
;;"76";"de Wolff, I.";"4";"4"
;;"77";"de Boer, Y.";"5";"5"
;;"78";"Yildirim, M.";"50";"50"
;;"79";"Mulder, H.";"13";"13"
;;"80";"van der Weijden, M.";"70";"70"
"2";"D66";;;"20410";"20410"
;;"1";"Jetten, R.A.A.";"13073";"13073"
;;"2";"Paternotte, J.M.";"643";"643"
;;"3";"Vijlbrief, J.A.";"403";"403"
;;"4";"Podt, A.";"1662";"1662"
;;"5";"Sneller, J.C.";"321";"321"
;;"6";"Rooderkerk, I.";"307";"307"
;;"7";"Paulusma, W.";"193";"193"
;;"8";"van der Werf, J.J.";"687";"687"
;;"9";"Bamenga, P.";"139";"139"
;;"10";"de Groot, T.C.";"182";"182"
;;"11";"Synhaeve, M.";"279";"279"
;;"12";"van Ginneken, L.M.";"415";"415"
;;"13";"Belhaj, S.";"234";"234"
;;"14";"Boulakjar, F.";"27";"27"
;;"15";"Sahla, F.";"347";"347"
;;"16";"Klos, F.C.O.";"35";"35"
;;"17";"Kat, H.";"136";"136"
;;"18";"Warmerdam, S.";"34";"34"
;;"19";"Alberg, S.T.";"43";"43"
;;"20";"Hammelburg, A.R.";"22";"22"
