"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring 's-Hertogenbosch"
"Nummer";;"HSB18"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Asten";"Best";"Boekel";"Boxtel";"Deurne";"Eersel";"Eindhoven";"Helmond";"'s-Hertogenbosch";"Heusden";"Nuenen, Gerwen en Nederwetten";"Oirschot";"Oss";"Sint-Michielsgestel";"Someren";"Son en Breugel";"Valkenswaard";"Veldhoven";"Vught";"Waalre";"Gemert-Bakel";"Heeze-Leende";"Laarbeek";"Reusel-De Mierden";"Cranendonck";"Bernheze";"Bergeijk";"Bladel";"Geldrop-Mierlo";"Meierijstad";"Land van Cuijk";"Maashorst"
"Gebiednummer";;;;;"0743";"0753";"0755";"0757";"0762";"0770";"0772";"0794";"0796";"0797";"0820";"0823";"0828";"0845";"0847";"0848";"0858";"0861";"0865";"0866";"1652";"1658";"1659";"1667";"1706";"1721";"1724";"1728";"1771";"1948";"1982";"1991"
;"opgeroepenen";;;"1113437";"13266";"23384";"8668";"25979";"25872";"15767";"163952";"68562";"123254";"35295";"18819";"15415";"71774";"23507";"15625";"13668";"24900";"34462";"24791";"13344";"23834";"13332";"18245";"10456";"16296";"25158";"15070";"16528";"31094";"64323";"72874";"45923"
;"geldig volmachtbewijs";;;"84975";"1136";"1891";"770";"2018";"2259";"1221";"10944";"5566";"8721";"2674";"1284";"1264";"6057";"1709";"1419";"911";"1835";"2387";"1874";"1149";"1981";"1023";"1527";"921";"1223";"2101";"1177";"1205";"2270";"4960";"5657";"3841"
;"geldige kiezerspas";;;"2646";"21";"48";"19";"45";"71";"35";"399";"99";"321";"41";"50";"53";"75";"49";"28";"29";"134";"57";"79";"32";"38";"47";"25";"25";"61";"32";"143";"76";"89";"126";"216";"83"
;"geldige stembiljetten";;;"873702";"11004";"18758";"7135";"20175";"20753";"12979";"117774";"48967";"95833";"28181";"15996";"12804";"55769";"19345";"12630";"11284";"19674";"27354";"20271";"11153";"19118";"11108";"14686";"8445";"13217";"20644";"12522";"13470";"24642";"51725";"59599";"36687"
;"blanco stembiljetten";;;"1768";"29";"51";"13";"37";"60";"36";"301";"107";"188";"49";"31";"17";"97";"28";"24";"15";"31";"64";"25";"24";"46";"25";"36";"21";"18";"35";"26";"24";"42";"89";"130";"49"
;"ongeldige stembiljetten";;;"1627";"27";"38";"19";"42";"33";"14";"324";"133";"177";"48";"23";"24";"97";"23";"15";"18";"27";"37";"23";"24";"21";"14";"35";"14";"21";"35";"7";"16";"44";"95";"91";"68"
;"aangetroffen stembiljetten";;;"877097";"11060";"18847";"7167";"20254";"20846";"13029";"118399";"49207";"96198";"28278";"16050";"12845";"55963";"19396";"12669";"11317";"19732";"27455";"20319";"11201";"19185";"11147";"14757";"8480";"13256";"20714";"12555";"13510";"24728";"51909";"59820";"36804"
;"meer stembiljetten dan toegelaten kiezers";;;"166";"1";"6";"1";"0";"2";"0";"57";"9";"54";"1";"1";"0";"9";"0";"2";"0";"0";"0";"3";"0";"0";"0";"0";"0";"2";"2";"3";"0";"2";"0";"9";"2"
;"minder stembiljetten dan toegelaten kiezers";;;"320";"4";"8";"2";"2";"4";"2";"109";"32";"32";"4";"4";"7";"24";"8";"2";"3";"1";"0";"10";"0";"12";"2";"1";"0";"0";"4";"6";"13";"2";"5";"13";"4"
