"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Utrecht"
"Nummer";;"HSB8"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Amersfoort";"Baarn";"De Bilt";"Bunnik";"Bunschoten";"Eemnes";"Houten";"Leusden";"Lopik";"Montfoort";"Renswoude";"Rhenen";"Soest";"Utrecht";"Veenendaal";"Woudenberg";"Wijk bij Duurstede";"IJsselstein";"Zeist";"Nieuwegein";"Oudewater";"Woerden";"De Ronde Venen";"Utrechtse Heuvelrug";"Stichtse Vecht";"Vijfheerenlanden"
"Gebiednummer";;;;;"0307";"0308";"0310";"0312";"0313";"0317";"0321";"0327";"0331";"0335";"0339";"0340";"0342";"0344";"0345";"0351";"0352";"0353";"0355";"0356";"0589";"0632";"0736";"1581";"1904";"1961"
;"opgeroepenen";;;"1040462";"121150";"19501";"33039";"12124";"16517";"7473";"38211";"24573";"11411";"10699";"4088";"15569";"36707";"262533";"51980";"10814";"18910";"25923";"50037";"49904";"7950";"40860";"35191";"39269";"49695";"46334"
;"geldig volmachtbewijs";;;"80419";"7924";"1397";"2447";"922";"1702";"576";"2690";"1474";"1145";"962";"443";"1537";"2676";"19998";"4549";"984";"1622";"2028";"3655";"3537";"659";"3200";"3153";"3253";"4045";"3841"
;"geldige kiezerspas";;;"3115";"333";"58";"91";"24";"9";"20";"85";"59";"21";"19";"12";"64";"91";"1086";"97";"42";"16";"34";"150";"91";"10";"85";"62";"177";"301";"78"
;"geldige stembiljetten";;;"844932";"98725";"15506";"27597";"10703";"14224";"6445";"32340";"21091";"9534";"9307";"3571";"12849";"29782";"208622";"41109";"9271";"15889";"20563";"39766";"37688";"6783";"33904";"29137";"33079";"40415";"37032"
;"blanco stembiljetten";;;"1440";"255";"27";"34";"20";"14";"7";"48";"29";"15";"8";"5";"18";"49";"359";"55";"8";"22";"50";"69";"77";"10";"58";"40";"51";"51";"61"
;"ongeldige stembiljetten";;;"1606";"255";"33";"38";"19";"18";"15";"47";"25";"16";"22";"6";"15";"54";"428";"69";"13";"33";"38";"75";"91";"7";"55";"62";"34";"60";"78"
;"aangetroffen stembiljetten";;;"847978";"99235";"15566";"27669";"10742";"14256";"6467";"32435";"21145";"9565";"9337";"3582";"12882";"29885";"209409";"41233";"9292";"15944";"20651";"39910";"37856";"6800";"34017";"29239";"33164";"40526";"37171"
;"meer stembiljetten dan toegelaten kiezers";;;"223";"75";"1";"4";"0";"2";"7";"4";"0";"0";"0";"0";"0";"1";"63";"3";"2";"5";"4";"7";"15";"0";"12";"4";"6";"8";"0"
;"minder stembiljetten dan toegelaten kiezers";;;"378";"70";"2";"12";"3";"3";"1";"32";"0";"2";"0";"0";"2";"5";"156";"4";"6";"2";"2";"14";"14";"1";"6";"20";"7";"10";"4"
