"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Amsterdam"
"Nummer";;"HSB9"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Amsterdam"
"Gebiednummer";;;;;"0363"
;"opgeroepenen";;;"595930";"595930"
;"geldig volmachtbewijs";;;"43054";"43054"
;"geldige kiezerspas";;;"1909";"1909"
;"geldige stembiljetten";;;"420359";"420359"
;"blanco stembiljetten";;;"864";"864"
;"ongeldige stembiljetten";;;"1650";"1650"
;"aangetroffen stembiljetten";;;"422873";"422873"
;"meer stembiljetten dan toegelaten kiezers";;;"257";"257"
;"minder stembiljetten dan toegelaten kiezers";;;"505";"505"
;"kiezers met stembiljet hebben niet gestemd";;;"24";"24"
;"er zijn te weinig stembiljetten uitgereikt";;;"9";"9"
;"er zijn te veel stembiljetten uitgereikt";;;"15";"15"
;"geen verklaring";;;"558";"558"
;"andere verklaring";;;"126";"126"
"1";"VVD";;;"49517";"49517"
;;"1";"Yeşilgöz, D.";"41318";"41318"
;;"2";"Hermans, S.T.M.";"1794";"1794"
;;"3";"Becker, B.";"472";"472"
;;"4";"van der Burg, E.";"1685";"1685"
;;"5";"van der Wal-Zeggelink, C.";"210";"210"
;;"6";"Brekelmans, R.P.";"418";"418"
;;"7";"Heinen, E.";"110";"110"
;;"8";"de Vries, A.";"141";"141"
;;"9";"Kamminga, R.J.";"72";"72"
;;"10";"Paul, M.L.J.";"359";"359"
;;"11";"Erkens, S.P.A.";"95";"95"
;;"12";"Rajkowski, Q.M.";"126";"126"
;;"13";"Aartsen, A.A.";"41";"41"
;;"14";"van Campen, A.A.H.";"38";"38"
;;"15";"Tielen, J.Z.C.M.";"51";"51"
;;"16";"Veltman-Kamp, H.N.";"30";"30"
;;"17";"van Eijk-Nagel, W.P.J.";"41";"41"
;;"18";"Ellian, U.";"176";"176"
;;"19";"Michon-Derkzen, I.J.M.";"34";"34"
;;"20";"Martens-America, C.";"437";"437"
;;"21";"Meulenkamp, W.J.H.";"20";"20"
;;"22";"de Groot, P.C.";"56";"56"
;;"23";"Kisteman, A.";"11";"11"
;;"24";"de Kort, A.H.J.";"20";"20"
;;"25";"van den Hil, J.";"79";"79"
;;"26";"Valstar, P.J.";"18";"18"
;;"27";"Bevers, H.";"21";"21"
