"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Tilburg"
"Nummer";;"HSB17"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Baarle-Nassau";"Bergen op Zoom";"Breda";"Dongen";"Etten-Leur";"Geertruidenberg";"Gilze en Rijen";"Goirle";"Hilvarenbeek";"Loon op Zand";"Oisterwijk";"Oosterhout";"Rucphen";"Steenbergen";"Tilburg";"Waalwijk";"Woensdrecht";"Zundert";"Halderberge";"Roosendaal";"Moerdijk";"Drimmelen";"Alphen-Chaam";"Altena"
"Gebiednummer";;;;;"0744";"0748";"0758";"0766";"0777";"0779";"0784";"0785";"0798";"0809";"0824";"0826";"0840";"0851";"0855";"0867";"0873";"0879";"1655";"1674";"1709";"1719";"1723";"1959"
;"opgeroepenen";;;"878885";"5477";"52593";"142438";"21084";"34483";"17375";"20545";"18988";"12780";"18715";"25867";"44669";"19078";"18989";"167930";"37440";"16270";"17391";"24039";"58168";"29852";"22211";"8292";"44211"
;"geldig volmachtbewijs";;;"66682";"493";"3844";"10019";"1393";"2667";"1311";"1254";"1410";"906";"1386";"1961";"3680";"2094";"1594";"11284";"2809";"1257";"1508";"2050";"4427";"2241";"1820";"784";"4490"
;"geldige kiezerspas";;;"2087";"52";"85";"453";"33";"37";"21";"215";"45";"82";"63";"84";"116";"35";"27";"279";"52";"57";"53";"30";"121";"38";"39";"22";"48"
;"geldige stembiljetten";;;"664937";"4322";"38075";"108231";"16469";"26369";"13363";"16239";"15491";"10913";"14832";"21220";"33687";"14231";"14487";"118061";"28522";"12441";"13873";"18382";"41509";"22856";"17983";"6979";"36402"
;"blanco stembiljetten";;;"1237";"7";"66";"237";"28";"46";"30";"39";"41";"22";"39";"38";"53";"15";"18";"265";"51";"15";"26";"28";"65";"29";"22";"11";"46"
;"ongeldige stembiljetten";;;"1247";"4";"89";"194";"25";"60";"29";"18";"21";"14";"24";"35";"51";"22";"12";"300";"61";"20";"16";"29";"114";"28";"31";"4";"46"
;"aangetroffen stembiljetten";;;"667421";"4333";"38230";"108662";"16522";"26475";"13422";"16296";"15553";"10949";"14895";"21293";"33791";"14268";"14517";"118626";"28634";"12476";"13915";"18439";"41688";"22913";"18036";"6994";"36494"
;"meer stembiljetten dan toegelaten kiezers";;;"95";"0";"12";"15";"0";"3";"0";"0";"2";"0";"2";"7";"0";"1";"1";"33";"4";"0";"0";"0";"5";"5";"2";"0";"3"
;"minder stembiljetten dan toegelaten kiezers";;;"387";"1";"6";"62";"8";"3";"3";"1";"3";"1";"2";"13";"17";"6";"3";"205";"4";"1";"4";"1";"29";"6";"0";"3";"5"
;"kiezers met stembiljet hebben niet gestemd";;;"68";"1";"0";"2";"8";"1";"0";"1";"1";"1";"0";"1";"15";"4";"3";"3";"2";"0";"0";"0";"25";"0";"0";"0";"0"
;"er zijn te weinig stembiljetten uitgereikt";;;"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;"er zijn te veel stembiljetten uitgereikt";;;"12";"0";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"2";"0";"0";"1";"2";"0";"1";"0";"0"
;"geen verklaring";;;"353";"0";"14";"62";"0";"0";"0";"0";"3";"0";"3";"19";"0";"0";"0";"228";"2";"0";"4";"0";"0";"9";"1";"3";"5"
;"andere verklaring";;;"16";"0";"1";"6";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1";"VVD";;;"122323";"708";"7043";"22558";"3288";"5274";"2423";"2924";"3002";"2259";"2996";"5084";"6738";"1899";"2554";"18028";"5036";"2418";"2840";"3634";"7743";"4017";"3603";"1651";"4603"
;;"1";"Yeşilgöz, D.";"104698";"628";"6317";"18866";"2844";"4605";"2141";"2485";"2549";"1893";"2473";"3978";"5831";"1672";"2278";"15045";"4265";"2176";"2460";"3161";"6893";"3558";"3022";"1439";"4119"
;;"2";"Hermans, S.T.M.";"5003";"19";"270";"959";"143";"201";"79";"142";"116";"101";"117";"165";"283";"66";"108";"769";"215";"96";"121";"162";"307";"172";"139";"74";"179"
;;"3";"Becker, B.";"909";"6";"45";"204";"25";"43";"24";"28";"18";"5";"21";"23";"50";"14";"14";"175";"35";"9";"17";"16";"59";"29";"13";"5";"31"
;;"4";"van der Burg, E.";"1249";"7";"67";"302";"27";"63";"19";"40";"25";"11";"30";"29";"70";"13";"24";"214";"43";"25";"31";"26";"76";"34";"18";"17";"38"
;;"5";"van der Wal-Zeggelink, C.";"343";"0";"17";"75";"12";"23";"8";"4";"6";"2";"12";"10";"20";"4";"9";"52";"7";"10";"4";"7";"29";"4";"9";"3";"16"
;;"6";"Brekelmans, R.P.";"3699";"21";"61";"341";"101";"61";"29";"76";"189";"174";"232";"777";"76";"27";"26";"1022";"144";"29";"32";"47";"77";"35";"33";"33";"56"
;;"7";"Heinen, E.";"121";"1";"10";"14";"5";"4";"2";"3";"4";"3";"0";"4";"7";"0";"2";"24";"5";"2";"4";"2";"8";"4";"3";"4";"6"
;;"8";"de Vries, A.";"223";"0";"11";"47";"7";"16";"9";"6";"6";"1";"5";"2";"12";"3";"3";"43";"8";"4";"5";"6";"9";"3";"9";"3";"5"
;;"9";"Kamminga, R.J.";"92";"0";"6";"22";"0";"2";"0";"1";"5";"1";"2";"3";"4";"2";"6";"11";"3";"2";"2";"3";"7";"5";"2";"0";"3"
;;"10";"Paul, M.L.J.";"126";"0";"6";"28";"2";"6";"1";"4";"6";"2";"2";"7";"8";"1";"4";"20";"4";"0";"7";"3";"7";"4";"1";"0";"3"
;;"11";"Erkens, S.P.A.";"92";"1";"5";"25";"0";"2";"2";"2";"4";"3";"0";"6";"4";"0";"1";"24";"3";"0";"4";"1";"1";"4";"0";"0";"0"
;;"12";"Rajkowski, Q.M.";"136";"0";"12";"27";"6";"7";"2";"2";"2";"1";"2";"1";"6";"1";"2";"32";"7";"4";"7";"2";"3";"2";"4";"1";"3"
;;"13";"Aartsen, A.A.";"2664";"7";"53";"1082";"32";"127";"63";"52";"12";"6";"10";"10";"220";"50";"19";"86";"21";"32";"86";"137";"106";"88";"289";"33";"43"
;;"14";"van Campen, A.A.H.";"82";"0";"0";"30";"14";"4";"1";"3";"2";"0";"0";"2";"1";"0";"3";"5";"0";"0";"5";"3";"2";"4";"1";"0";"2"
;;"15";"Tielen, J.Z.C.M.";"90";"0";"5";"21";"2";"4";"1";"3";"1";"2";"2";"2";"6";"1";"2";"12";"8";"1";"1";"2";"6";"3";"1";"0";"4"
;;"16";"Veltman-Kamp, H.N.";"46";"0";"6";"11";"1";"1";"1";"1";"0";"0";"3";"1";"3";"2";"1";"8";"1";"0";"2";"1";"1";"1";"0";"0";"1"
;;"17";"van Eijk-Nagel, W.P.J.";"112";"0";"5";"25";"0";"5";"1";"4";"3";"5";"4";"5";"3";"1";"3";"29";"3";"1";"0";"3";"3";"1";"5";"3";"0"
;;"18";"Ellian, U.";"92";"0";"2";"22";"1";"5";"2";"1";"2";"1";"1";"5";"7";"1";"1";"20";"6";"1";"1";"3";"3";"1";"1";"1";"4"
;;"19";"Michon-Derkzen, I.J.M.";"44";"0";"4";"9";"1";"0";"2";"1";"0";"1";"2";"0";"4";"0";"0";"9";"1";"2";"0";"0";"2";"2";"1";"0";"3"
;;"20";"Martens-America, C.";"62";"0";"2";"20";"2";"3";"1";"1";"1";"2";"5";"0";"3";"1";"0";"8";"2";"0";"3";"1";"3";"1";"1";"0";"2"
;;"21";"Meulenkamp, W.J.H.";"18";"0";"0";"5";"0";"0";"1";"0";"3";"0";"0";"1";"3";"0";"0";"4";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"22";"de Groot, P.C.";"69";"6";"8";"22";"3";"1";"1";"0";"0";"1";"0";"1";"6";"1";"3";"6";"0";"0";"0";"0";"3";"1";"0";"2";"4"
;;"23";"Kisteman, A.";"24";"0";"0";"3";"0";"1";"0";"3";"1";"1";"1";"0";"0";"0";"2";"0";"4";"0";"0";"3";"2";"2";"0";"1";"0"
;;"24";"de Kort, A.H.J.";"182";"1";"1";"27";"0";"8";"1";"6";"7";"19";"7";"7";"12";"3";"3";"44";"7";"3";"4";"1";"7";"7";"1";"2";"4"
;;"25";"van den Hil, J.";"190";"0";"39";"32";"1";"4";"0";"2";"2";"2";"1";"4";"8";"7";"10";"22";"2";"8";"2";"3";"30";"5";"3";"0";"3"
;;"26";"Valstar, P.J.";"73";"0";"5";"15";"2";"1";"8";"2";"1";"1";"1";"2";"3";"1";"2";"7";"3";"0";"1";"2";"6";"1";"6";"2";"1"
;;"27";"Bevers, H.";"20";"1";"1";"4";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"1";"5";"0";"1";"1";"1";"0";"1";"0";"0";"0"
;;"28";"Buijsse, M.R.G.";"64";"2";"1";"12";"1";"1";"1";"0";"4";"2";"1";"1";"3";"3";"0";"8";"3";"1";"5";"2";"6";"1";"4";"1";"1"
;;"29";"Dral, R.M.";"125";"0";"3";"35";"1";"2";"0";"5";"3";"2";"2";"3";"4";"0";"1";"38";"3";"0";"7";"3";"4";"3";"4";"0";"2"
;;"30";"Bikkers, B.T.";"39";"0";"12";"5";"1";"1";"1";"0";"0";"0";"0";"1";"3";"0";"1";"8";"0";"2";"0";"1";"1";"0";"1";"0";"1"
;;"31";"Verkuijlen, R.";"15";"0";"0";"3";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"4";"0";"1";"0";"0";"2";"0";"2";"0";"0"
