"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Leiden"
"Nummer";;"HSB15"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Alphen aan den Rijn";"Capelle aan den IJssel";"Gouda";"Hillegom";"Katwijk";"Krimpen aan den IJssel";"Leiden";"Leiderdorp";"Lisse";"Nieuwkoop";"Noordwijk";"Oegstgeest";"Voorschoten";"Waddinxveen";"Wassenaar";"Zoetermeer";"Zoeterwoude";"Teylingen";"Lansingerland";"Kaag en Braassem";"Zuidplas";"Bodegraven-Reeuwijk";"Leidschendam-Voorburg";"Pijnacker-Nootdorp";"Krimpenerwaard"
"Gebiednummer";;;;;"0484";"0502";"0513";"0534";"0537";"0542";"0546";"0547";"0553";"0569";"0575";"0579";"0626";"0627";"0629";"0637";"0638";"1525";"1621";"1884";"1892";"1901";"1916";"1926";"1931"
;"opgeroepenen";;;"964169";"87064";"50315";"56667";"17044";"50162";"22796";"95572";"21091";"18015";"22875";"34211";"18111";"18890";"24548";"18151";"96207";"7468";"29340";"47295";"22391";"35486";"27370";"56246";"42061";"44793"
;"geldig volmachtbewijs";;;"73119";"6250";"3327";"3907";"1113";"4933";"1961";"6290";"1238";"1287";"1984";"2754";"1179";"1222";"1924";"1660";"7333";"423";"2349";"4215";"1574";"2915";"2372";"3950";"3417";"3542"
;"geldige kiezerspas";;;"2203";"133";"84";"132";"34";"76";"44";"346";"37";"38";"48";"141";"53";"167";"48";"52";"116";"18";"51";"138";"38";"83";"87";"96";"86";"57"
;"geldige stembiljetten";;;"771054";"69475";"34867";"43360";"13882";"41707";"18184";"76417";"17266";"15200";"18863";"28259";"15671";"16105";"19906";"14980";"71155";"6151";"24921";"39061";"18741";"28138";"22890";"43901";"34703";"37251"
;"blanco stembiljetten";;;"1390";"124";"90";"94";"18";"54";"35";"154";"32";"23";"26";"40";"23";"33";"36";"25";"168";"15";"48";"51";"37";"45";"36";"60";"58";"65"
;"ongeldige stembiljetten";;;"1594";"165";"119";"94";"28";"62";"29";"222";"33";"16";"31";"39";"20";"26";"40";"45";"180";"6";"32";"67";"27";"42";"35";"117";"68";"51"
;"aangetroffen stembiljetten";;;"774038";"69764";"35076";"43548";"13928";"41823";"18248";"76793";"17331";"15239";"18920";"28338";"15714";"16164";"19982";"15050";"71503";"6172";"25001";"39179";"18805";"28225";"22961";"44078";"34829";"37367"
;"meer stembiljetten dan toegelaten kiezers";;;"260";"9";"1";"7";"5";"1";"1";"18";"1";"7";"0";"1";"2";"16";"3";"0";"10";"1";"17";"126";"0";"10";"3";"7";"9";"5"
;"minder stembiljetten dan toegelaten kiezers";;;"402";"5";"2";"14";"13";"3";"5";"23";"3";"13";"11";"7";"1";"5";"12";"9";"47";"0";"13";"154";"3";"8";"2";"22";"16";"11"
;"kiezers met stembiljet hebben niet gestemd";;;"28";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"4";"0";"0";"0";"0";"1";"0";"6";"2";"10"
;"er zijn te weinig stembiljetten uitgereikt";;;"22";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"15";"0";"0";"0";"0";"3";"0";"2";"0";"0"
;"er zijn te veel stembiljetten uitgereikt";;;"22";"0";"0";"2";"4";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"6";"1";"0";"0";"0";"0";"0";"3";"0";"5"
;"geen verklaring";;;"233";"11";"0";"18";"9";"0";"0";"32";"2";"13";"11";"2";"0";"10";"15";"0";"27";"0";"0";"41";"3";"13";"0";"7";"19";"0"
;"andere verklaring";;;"261";"0";"0";"1";"0";"0";"0";"8";"0";"5";"0";"0";"0";"0";"0";"0";"5";"0";"0";"239";"0";"1";"0";"1";"0";"1"
"1";"VVD";;;"141130";"13147";"5127";"5467";"2823";"5809";"2427";"8939";"3191";"3175";"3970";"6815";"3594";"3578";"3206";"4908";"12212";"1122";"5877";"8806";"4100";"5251";"4310";"9486";"7569";"6221"
;;"1";"Yeşilgöz, D.";"122466";"11555";"4388";"4762";"2510";"5251";"2159";"7306";"2800";"2825";"3506";"6113";"3120";"3085";"2800";"4002";"10497";"965";"5154";"7593";"3645";"4512";"3812";"8039";"6514";"5553"
;;"2";"Hermans, S.T.M.";"5787";"578";"226";"276";"109";"199";"94";"391";"149";"130";"158";"253";"125";"140";"149";"147";"444";"56";"217";"363";"157";"262";"191";"358";"327";"288"
;;"3";"Becker, B.";"2581";"193";"47";"53";"34";"110";"15";"224";"53";"29";"46";"108";"84";"101";"55";"478";"177";"20";"113";"100";"46";"62";"51";"211";"116";"55"
;;"4";"van der Burg, E.";"2126";"175";"74";"97";"47";"63";"34";"195";"52";"49";"66";"85";"74";"62";"43";"48";"177";"33";"94";"141";"56";"76";"65";"133";"115";"72"
;;"5";"van der Wal-Zeggelink, C.";"606";"49";"25";"30";"13";"15";"7";"57";"10";"9";"20";"16";"22";"21";"12";"20";"47";"5";"31";"38";"12";"17";"16";"51";"40";"23"
;;"6";"Brekelmans, R.P.";"827";"68";"32";"23";"9";"26";"12";"102";"17";"22";"11";"44";"21";"24";"16";"35";"38";"5";"48";"46";"18";"46";"19";"80";"38";"27"
;;"7";"Heinen, E.";"519";"41";"21";"13";"4";"8";"6";"35";"11";"8";"4";"16";"9";"13";"13";"14";"49";"3";"17";"31";"7";"13";"15";"92";"56";"20"
;;"8";"de Vries, A.";"339";"34";"14";"14";"8";"9";"4";"41";"7";"8";"7";"16";"5";"9";"5";"7";"29";"2";"14";"19";"9";"11";"8";"26";"17";"16"
;;"9";"Kamminga, R.J.";"187";"18";"8";"11";"3";"4";"6";"11";"2";"3";"4";"9";"5";"4";"6";"4";"8";"0";"4";"9";"5";"10";"5";"25";"12";"11"
;;"10";"Paul, M.L.J.";"245";"20";"5";"10";"5";"5";"3";"35";"2";"5";"8";"16";"11";"5";"1";"4";"30";"0";"12";"9";"6";"6";"4";"20";"16";"7"
;;"11";"Erkens, S.P.A.";"111";"14";"5";"3";"2";"6";"1";"13";"2";"2";"3";"3";"1";"2";"1";"6";"5";"0";"5";"8";"4";"4";"4";"11";"4";"2"
;;"12";"Rajkowski, Q.M.";"258";"18";"5";"14";"1";"7";"1";"35";"4";"2";"2";"14";"16";"3";"7";"7";"18";"1";"14";"20";"4";"10";"5";"33";"11";"6"
;;"13";"Aartsen, A.A.";"122";"10";"2";"6";"2";"4";"2";"12";"3";"3";"1";"7";"1";"3";"2";"3";"9";"1";"4";"6";"8";"7";"3";"12";"7";"4"
;;"14";"van Campen, A.A.H.";"51";"3";"4";"0";"1";"2";"0";"8";"1";"1";"0";"1";"1";"2";"2";"2";"2";"0";"3";"4";"1";"6";"1";"2";"3";"1"
;;"15";"Tielen, J.Z.C.M.";"167";"17";"6";"13";"0";"4";"2";"14";"2";"1";"6";"2";"1";"1";"6";"3";"13";"2";"7";"8";"4";"4";"13";"17";"6";"15"
;;"16";"Veltman-Kamp, H.N.";"94";"16";"6";"7";"2";"4";"2";"9";"1";"1";"2";"3";"1";"2";"0";"1";"1";"2";"5";"7";"0";"4";"3";"4";"8";"3"
;;"17";"van Eijk-Nagel, W.P.J.";"76";"8";"0";"5";"2";"2";"0";"12";"0";"3";"3";"2";"4";"1";"1";"1";"7";"1";"1";"2";"1";"2";"4";"6";"6";"2"
;;"18";"Ellian, U.";"224";"13";"16";"3";"1";"5";"4";"42";"4";"4";"4";"10";"9";"5";"4";"9";"12";"0";"6";"17";"2";"8";"2";"28";"9";"7"
;;"19";"Michon-Derkzen, I.J.M.";"214";"10";"2";"8";"1";"4";"0";"24";"7";"0";"2";"3";"2";"6";"1";"9";"24";"0";"7";"16";"4";"7";"3";"52";"21";"1"
;;"20";"Martens-America, C.";"117";"5";"2";"4";"5";"4";"3";"21";"1";"1";"3";"3";"8";"3";"5";"4";"5";"1";"4";"11";"2";"3";"2";"10";"5";"2"
;;"21";"Meulenkamp, W.J.H.";"23";"4";"0";"1";"0";"0";"0";"2";"1";"2";"1";"0";"0";"2";"0";"0";"0";"0";"2";"3";"2";"2";"0";"1";"0";"0"
;;"22";"de Groot, P.C.";"125";"13";"5";"5";"1";"4";"0";"8";"3";"2";"5";"3";"3";"7";"0";"2";"11";"1";"3";"7";"1";"7";"1";"17";"10";"6"
;;"23";"Kisteman, A.";"44";"5";"1";"1";"2";"5";"0";"1";"0";"2";"1";"2";"0";"1";"2";"4";"3";"0";"4";"3";"0";"1";"6";"0";"0";"0"
;;"24";"de Kort, A.H.J.";"58";"6";"1";"0";"2";"3";"0";"8";"2";"2";"0";"1";"3";"2";"2";"5";"4";"0";"1";"4";"1";"2";"0";"5";"3";"1"
;;"25";"van den Hil, J.";"163";"12";"5";"4";"0";"8";"3";"39";"2";"7";"5";"1";"4";"3";"3";"4";"16";"1";"6";"9";"5";"2";"2";"7";"10";"5"
;;"26";"Valstar, P.J.";"209";"10";"4";"4";"4";"3";"3";"16";"3";"1";"6";"6";"3";"4";"4";"5";"16";"1";"4";"34";"3";"9";"1";"21";"38";"6"
;;"27";"Bevers, H.";"38";"1";"1";"3";"1";"3";"1";"4";"1";"2";"1";"2";"2";"1";"1";"1";"2";"0";"1";"1";"1";"1";"2";"1";"4";"0"
;;"28";"Buijsse, M.R.G.";"35";"4";"1";"4";"1";"4";"0";"5";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"3";"2";"0";"1";"1";"2";"4";"0"
;;"29";"Dral, R.M.";"236";"18";"6";"9";"4";"3";"3";"60";"5";"6";"7";"4";"6";"0";"2";"1";"9";"2";"17";"14";"8";"5";"9";"15";"14";"9"
;;"30";"Bikkers, B.T.";"78";"4";"12";"1";"0";"0";"4";"6";"3";"1";"2";"0";"0";"0";"2";"0";"10";"0";"1";"14";"0";"4";"0";"5";"7";"2"
;;"31";"Verkuijlen, R.";"28";"2";"0";"3";"0";"0";"0";"7";"1";"0";"0";"1";"0";"2";"0";"2";"1";"1";"0";"1";"0";"1";"1";"3";"1";"1"
;;"32";"Richardson, S.M.";"160";"10";"6";"7";"2";"8";"1";"35";"1";"9";"1";"2";"2";"2";"5";"5";"10";"1";"8";"9";"5";"8";"5";"15";"1";"2"
;;"33";"de Beer, M.E.E.";"37";"3";"1";"0";"2";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"0";"4";"0";"1";"3";"2";"5";"2";"5";"1";"0"
;;"34";"van Strien, P.J.T.";"46";"7";"0";"0";"1";"1";"0";"4";"0";"1";"1";"3";"3";"1";"0";"0";"3";"0";"5";"0";"2";"0";"0";"4";"9";"1"
;;"35";"Hartsuiker, R.J.J.";"27";"2";"2";"2";"0";"0";"0";"3";"0";"0";"2";"0";"2";"2";"2";"0";"2";"1";"0";"1";"0";"0";"1";"3";"1";"1"
;;"36";"Klein Lankhorst, H.";"66";"8";"1";"3";"3";"0";"1";"9";"0";"3";"0";"5";"2";"1";"2";"1";"4";"1";"1";"6";"4";"0";"2";"2";"4";"3"
;;"37";"Haverkort, E.A.";"22";"4";"0";"2";"0";"0";"0";"1";"1";"0";"0";"2";"1";"0";"1";"1";"2";"0";"1";"0";"1";"1";"0";"3";"1";"0"
;;"38";"Simons, C.";"20";"4";"1";"1";"0";"2";"0";"3";"0";"0";"0";"1";"0";"0";"1";"0";"2";"0";"0";"0";"1";"0";"0";"2";"2";"0"
;;"39";"Bijenhof, Y.";"36";"5";"0";"2";"3";"0";"0";"5";"0";"1";"1";"1";"1";"1";"4";"0";"3";"1";"0";"1";"3";"1";"0";"2";"1";"0"
;;"40";"van Groningen, D.A.";"537";"13";"110";"14";"0";"5";"37";"14";"0";"2";"3";"2";"5";"2";"11";"7";"11";"1";"4";"168";"5";"53";"7";"12";"21";"30"
;;"41";"Zeeuw van der Laan, E.M.";"57";"3";"1";"2";"0";"0";"2";"3";"0";"0";"3";"0";"1";"3";"0";"17";"7";"1";"1";"0";"3";"3";"2";"2";"1";"2"
;;"42";"Volkman, Y.";"48";"1";"6";"0";"2";"0";"1";"8";"0";"0";"0";"0";"0";"2";"2";"0";"5";"0";"0";"5";"0";"5";"1";"3";"3";"4"
;;"43";"van Kessel, P.W.";"36";"6";"1";"0";"1";"1";"1";"2";"1";"1";"1";"3";"3";"0";"0";"1";"1";"0";"4";"2";"2";"0";"0";"1";"4";"0"
;;"44";"Rahimi, H.";"83";"6";"3";"1";"4";"0";"1";"4";"3";"0";"3";"0";"3";"0";"3";"4";"11";"1";"1";"2";"0";"7";"3";"14";"8";"1"
;;"45";"Omlo, B.F.";"11";"1";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"2";"0";"1";"0";"0";"2";"0"
;;"46";"Yizhak Cooremans, R.A.T.";"13";"3";"0";"0";"0";"0";"0";"1";"3";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1"
;;"47";"Nelisse, R.M.L.";"109";"11";"4";"4";"3";"0";"0";"6";"1";"3";"3";"7";"1";"3";"3";"1";"10";"2";"3";"2";"4";"8";"10";"8";"5";"7"
;;"48";"de Wit, B.G.P.";"20";"5";"0";"1";"0";"1";"0";"4";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0";"3";"2";"0";"0";"0";"0"
;;"49";"van Meerten-Kok, M.A.";"26";"0";"0";"0";"0";"1";"0";"3";"2";"0";"0";"1";"0";"0";"0";"5";"0";"0";"3";"0";"3";"0";"1";"7";"0";"0"
;;"50";"Hoogezand, B.";"10";"1";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"2";"1";"0"
;;"51";"Achterbergh, M.";"27";"4";"0";"0";"4";"3";"0";"1";"0";"1";"0";"1";"1";"1";"0";"0";"2";"0";"2";"0";"6";"0";"0";"1";"0";"0"
;;"52";"Wendel, H.";"49";"5";"2";"3";"1";"1";"0";"13";"1";"2";"0";"3";"2";"1";"1";"0";"5";"0";"1";"2";"1";"3";"0";"0";"1";"1"
;;"53";"Kohli, N.R.";"218";"7";"33";"5";"1";"1";"2";"9";"7";"3";"0";"1";"3";"5";"1";"0";"56";"2";"3";"7";"3";"2";"0";"52";"15";"0"
;;"54";"Klerks, I.C.";"6";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1"
;;"55";"Dijkema, H.M.";"14";"3";"1";"0";"2";"2";"0";"3";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"56";"Elkerbout, A.";"35";"3";"0";"1";"3";"0";"0";"5";"0";"0";"0";"2";"0";"0";"1";"0";"1";"0";"5";"1";"1";"0";"3";"6";"3";"0"
;;"57";"van Rijn, D.";"53";"4";"2";"0";"0";"2";"0";"3";"0";"0";"1";"0";"1";"1";"1";"0";"1";"0";"1";"4";"0";"1";"2";"4";"25";"0"
;;"58";"Aptroot, B.W.";"465";"11";"0";"5";"0";"4";"0";"5";"3";"0";"1";"5";"3";"14";"4";"20";"348";"2";"2";"16";"1";"5";"1";"6";"8";"1"
;;"59";"de Regt, L.H.P.";"10";"0";"0";"0";"0";"1";"0";"3";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"1"
;;"60";"van Veen, J.";"5";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
