"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Den Helder"
"Nummer";;"HSB11"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Alkmaar";"Bergen (NH)";"Castricum";"Edam-Volendam";"Enkhuizen";"Heiloo";"Den Helder";"Hoorn";"Landsmeer";"Medemblik";"Oostzaan";"Opmeer";"Purmerend";"Schagen";"Texel";"Uitgeest";"Zaanstad";"Drechterland";"Stede Broec";"Waterland";"Wormerland";"Koggenland";"Hollands Kroon";"Dijk en Waard"
"Gebiednummer";;;;;"0361";"0373";"0383";"0385";"0388";"0399";"0400";"0405";"0415";"0420";"0431";"0432";"0439";"0441";"0448";"0450";"0479";"0498";"0532";"0852";"0880";"1598";"1911";"1980"
;"opgeroepenen";;;"796546";"86329";"24495";"29173";"29340";"14248";"19460";"44758";"56761";"8813";"34995";"7593";"9501";"73111";"37792";"11049";"10509";"115180";"15651";"16910";"13616";"13129";"18423";"37873";"67837"
;"geldig volmachtbewijs";;;"57683";"5022";"2062";"2172";"3416";"1080";"1388";"2841";"3707";"522";"2515";"636";"716";"5919";"2685";"1037";"702";"7742";"1172";"1301";"1130";"828";"1362";"3063";"4665"
;"geldige kiezerspas";;;"2833";"187";"344";"74";"52";"17";"51";"286";"93";"9";"64";"7";"16";"105";"138";"998";"16";"127";"20";"20";"22";"13";"35";"45";"94"
;"geldige stembiljetten";;;"624172";"66698";"20745";"25107";"25155";"11167";"16748";"31374";"42406";"7373";"28142";"6255";"7753";"54694";"30889";"10211";"8819";"83343";"12953";"13379";"11786";"10749";"15240";"30528";"52658"
;"blanco stembiljetten";;;"1201";"146";"33";"44";"30";"27";"28";"68";"116";"6";"66";"4";"14";"105";"45";"10";"21";"178";"21";"22";"13";"22";"25";"54";"103"
;"ongeldige stembiljetten";;;"1362";"143";"26";"21";"45";"21";"18";"48";"107";"25";"40";"15";"14";"164";"54";"17";"17";"286";"21";"25";"24";"19";"31";"60";"121"
;"aangetroffen stembiljetten";;;"626735";"66987";"20804";"25172";"25230";"11215";"16794";"31490";"42629";"7404";"28248";"6274";"7781";"54963";"30988";"10238";"8857";"83807";"12995";"13426";"11823";"10790";"15296";"30642";"52882"
;"meer stembiljetten dan toegelaten kiezers";;;"171";"25";"1";"1";"10";"0";"1";"6";"6";"1";"0";"0";"0";"34";"1";"0";"0";"37";"0";"4";"4";"1";"0";"3";"36"
;"minder stembiljetten dan toegelaten kiezers";;;"360";"32";"4";"2";"7";"4";"3";"6";"38";"3";"4";"4";"1";"103";"3";"3";"5";"78";"3";"1";"4";"6";"4";"7";"35"
;"kiezers met stembiljet hebben niet gestemd";;;"35";"6";"3";"1";"1";"0";"3";"2";"0";"0";"0";"0";"0";"3";"0";"0";"4";"12";"0";"0";"0";"0";"0";"0";"0"
;"er zijn te weinig stembiljetten uitgereikt";;;"10";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"7";"0";"0";"0";"0";"0";"0";"0"
;"er zijn te veel stembiljetten uitgereikt";;;"21";"1";"1";"0";"3";"0";"1";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"0";"0";"1";"0";"0";"0";"0"
;"geen verklaring";;;"331";"32";"0";"0";"12";"4";"0";"3";"42";"0";"0";"0";"1";"122";"4";"3";"0";"62";"2";"5";"1";"3";"4";"9";"22"
;"andere verklaring";;;"82";"15";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"12";"1";"0";"0";"2";"0";"0";"49"
"1";"VVD";;;"108852";"10422";"4364";"4976";"3685";"1767";"3583";"5198";"7268";"1375";"5357";"1184";"1441";"9298";"6163";"1607";"1759";"11447";"2690";"2393";"2245";"1863";"3331";"5348";"10088"
;;"1";"Yeşilgöz, D.";"96842";"9244";"3955";"4473";"3347";"1590";"3200";"4625";"6476";"1205";"4590";"882";"1241";"8406";"5575";"1485";"1566";"10158";"2342";"2073";"2014";"1660";"2931";"4790";"9014"
;;"2";"Hermans, S.T.M.";"3649";"368";"155";"190";"115";"58";"119";"128";"259";"36";"163";"25";"55";"283";"205";"43";"70";"417";"77";"70";"69";"64";"116";"198";"366"
;;"3";"Becker, B.";"848";"111";"34";"44";"30";"12";"50";"39";"60";"6";"35";"4";"14";"59";"33";"10";"13";"80";"18";"10";"20";"10";"24";"37";"95"
;;"4";"van der Burg, E.";"1528";"163";"71";"70";"54";"20";"63";"54";"99";"37";"43";"15";"27";"167";"69";"12";"35";"164";"29";"27";"43";"29";"44";"66";"127"
;;"5";"van der Wal-Zeggelink, C.";"316";"33";"14";"33";"10";"2";"7";"17";"25";"1";"18";"3";"3";"16";"18";"4";"8";"32";"3";"2";"5";"7";"6";"14";"35"
;;"6";"Brekelmans, R.P.";"409";"43";"17";"18";"15";"7";"19";"19";"31";"4";"10";"3";"7";"39";"21";"8";"3";"33";"8";"8";"10";"7";"7";"20";"52"
;;"7";"Heinen, E.";"136";"21";"5";"6";"5";"1";"3";"1";"11";"3";"4";"0";"3";"5";"10";"1";"5";"25";"0";"1";"5";"3";"3";"7";"8"
;;"8";"de Vries, A.";"297";"33";"7";"5";"7";"6";"10";"18";"23";"1";"10";"1";"4";"19";"27";"4";"5";"31";"5";"9";"5";"3";"7";"25";"32"
;;"9";"Kamminga, R.J.";"109";"14";"2";"5";"3";"2";"2";"1";"3";"1";"8";"0";"2";"5";"6";"2";"5";"6";"5";"4";"3";"2";"8";"8";"12"
;;"10";"Paul, M.L.J.";"196";"19";"4";"9";"6";"0";"4";"3";"17";"3";"5";"5";"1";"29";"9";"1";"6";"42";"4";"1";"9";"3";"3";"6";"7"
;;"11";"Erkens, S.P.A.";"62";"10";"3";"2";"2";"1";"3";"3";"2";"0";"3";"0";"1";"3";"10";"1";"1";"6";"1";"0";"0";"0";"2";"1";"7"
;;"12";"Rajkowski, Q.M.";"126";"17";"3";"8";"7";"5";"7";"4";"11";"0";"5";"2";"1";"15";"2";"1";"1";"14";"1";"1";"2";"2";"2";"2";"13"
;;"13";"Aartsen, A.A.";"83";"10";"3";"1";"2";"1";"5";"5";"6";"2";"2";"0";"0";"10";"5";"2";"2";"7";"0";"0";"3";"2";"3";"2";"10"
;;"14";"van Campen, A.A.H.";"45";"1";"0";"2";"0";"1";"0";"3";"1";"1";"5";"0";"3";"3";"4";"0";"2";"2";"2";"1";"1";"0";"3";"5";"5"
;;"15";"Tielen, J.Z.C.M.";"94";"11";"3";"0";"1";"1";"7";"7";"6";"0";"4";"1";"0";"10";"5";"2";"1";"8";"1";"5";"2";"1";"5";"5";"8"
;;"16";"Veltman-Kamp, H.N.";"51";"8";"0";"2";"1";"0";"2";"1";"4";"0";"4";"0";"1";"4";"2";"2";"0";"6";"0";"1";"0";"0";"2";"3";"8"
;;"17";"van Eijk-Nagel, W.P.J.";"32";"3";"0";"0";"1";"1";"2";"1";"1";"1";"1";"1";"0";"4";"0";"0";"0";"5";"1";"0";"1";"1";"1";"3";"4"
;;"18";"Ellian, U.";"94";"11";"2";"3";"3";"0";"3";"3";"6";"2";"1";"1";"1";"11";"6";"2";"2";"14";"1";"2";"1";"1";"3";"3";"12"
;;"19";"Michon-Derkzen, I.J.M.";"20";"0";"0";"0";"0";"0";"0";"0";"1";"1";"2";"0";"0";"2";"3";"0";"0";"3";"0";"1";"1";"0";"2";"0";"4"
;;"20";"Martens-America, C.";"104";"12";"4";"7";"5";"0";"3";"4";"10";"1";"0";"0";"2";"13";"3";"3";"1";"14";"2";"1";"3";"0";"1";"5";"10"
;;"21";"Meulenkamp, W.J.H.";"18";"1";"2";"1";"0";"0";"2";"2";"2";"0";"0";"1";"1";"2";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"1"
;;"22";"de Groot, P.C.";"63";"8";"5";"2";"4";"0";"3";"0";"7";"0";"3";"0";"2";"4";"2";"1";"0";"6";"4";"2";"0";"0";"3";"0";"7"
;;"23";"Kisteman, A.";"30";"3";"4";"1";"3";"0";"0";"2";"0";"2";"1";"0";"0";"0";"0";"2";"0";"1";"1";"1";"1";"1";"0";"2";"5"
;;"24";"de Kort, A.H.J.";"28";"4";"0";"0";"2";"1";"2";"2";"0";"0";"1";"0";"0";"2";"1";"1";"2";"4";"0";"0";"0";"0";"4";"0";"2"
;;"25";"van den Hil, J.";"64";"4";"3";"6";"0";"1";"0";"6";"6";"0";"2";"0";"1";"3";"9";"1";"1";"5";"1";"3";"1";"2";"1";"0";"8"
;;"26";"Valstar, P.J.";"43";"5";"2";"3";"1";"0";"0";"8";"0";"0";"5";"0";"0";"1";"0";"0";"0";"7";"1";"0";"2";"0";"2";"2";"4"
;;"27";"Bevers, H.";"22";"3";"0";"0";"1";"0";"0";"1";"3";"0";"2";"0";"0";"4";"0";"0";"0";"4";"1";"0";"0";"0";"0";"1";"2"
;;"28";"Buijsse, M.R.G.";"24";"4";"0";"1";"0";"1";"0";"1";"1";"0";"3";"0";"0";"4";"1";"0";"0";"3";"0";"1";"1";"0";"0";"1";"2"
;;"29";"Dral, R.M.";"917";"65";"15";"25";"27";"2";"13";"5";"23";"64";"14";"228";"5";"86";"12";"2";"5";"203";"5";"4";"27";"34";"15";"10";"28"
;;"30";"Bikkers, B.T.";"24";"2";"0";"3";"0";"0";"0";"2";"1";"0";"1";"1";"0";"2";"1";"0";"2";"1";"1";"1";"0";"1";"1";"1";"3"
;;"31";"Verkuijlen, R.";"25";"0";"0";"0";"0";"0";"1";"0";"3";"0";"4";"0";"1";"1";"2";"0";"0";"5";"0";"0";"0";"0";"1";"0";"7"
;;"32";"Richardson, S.M.";"93";"18";"2";"4";"4";"1";"6";"1";"4";"1";"3";"0";"0";"0";"7";"0";"2";"9";"1";"2";"3";"3";"4";"4";"14"
;;"33";"de Beer, M.E.E.";"30";"9";"0";"2";"0";"0";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"2";"3";"1";"0";"1";"0";"2";"3";"3"
;;"34";"van Strien, P.J.T.";"79";"14";"8";"6";"0";"1";"2";"1";"5";"1";"3";"0";"1";"2";"3";"1";"1";"5";"0";"0";"1";"1";"0";"2";"21"
;;"35";"Hartsuiker, R.J.J.";"23";"2";"0";"0";"0";"1";"1";"3";"3";"0";"1";"0";"0";"5";"0";"0";"1";"0";"0";"1";"0";"0";"1";"3";"1"
;;"36";"Klein Lankhorst, H.";"22";"2";"1";"1";"0";"0";"1";"0";"2";"0";"2";"1";"0";"2";"0";"0";"1";"1";"0";"0";"1";"1";"0";"1";"5"
