"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Dordrecht"
"Nummer";;"HSB14"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Alblasserdam";"Barendrecht";"Delft";"Dordrecht";"Gorinchem";"Hardinxveld-Giessendam";"Hendrik-Ido-Ambacht";"Maassluis";"Papendrecht";"Ridderkerk";"Rijswijk";"Schiedam";"Sliedrecht";"Albrandswaard";"Vlaardingen";"Zwijndrecht";"Westland";"Midden-Delfland";"Goeree-Overflakkee";"Nissewaard";"Hoeksche Waard";"Molenlanden";"Voorne aan Zee"
"Gebiednummer";;;;;"0482";"0489";"0503";"0505";"0512";"0523";"0531";"0556";"0590";"0597";"0603";"0606";"0610";"0613";"0622";"0642";"1783";"1842";"1924";"1930";"1963";"1978";"1992"
;"opgeroepenen";;;"973559";"15131";"37134";"76322";"91122";"28981";"13952";"23920";"26636";"25219";"37056";"42084";"56052";"19815";"20090";"54577";"34449";"84694";"14888";"40748";"66710";"71274";"34261";"58444"
;"geldig volmachtbewijs";;;"75650";"1223";"3187";"4313";"6399";"2311";"1314";"2293";"2022";"1787";"2887";"2678";"4218";"1720";"1557";"3735";"2412";"7301";"1259";"4288";"4780";"6173";"3040";"4753"
;"geldige kiezerspas";;;"1697";"18";"36";"283";"131";"48";"17";"43";"46";"37";"46";"73";"78";"32";"26";"54";"64";"83";"25";"201";"74";"106";"65";"111"
;"geldige stembiljetten";;;"746455";"12130";"29358";"59008";"65410";"21848";"11804";"19660";"20042";"19705";"28012";"30520";"37707";"15235";"16041";"38143";"25143";"69208";"12941";"33897";"46894";"58356";"30024";"45369"
;"blanco stembiljetten";;;"1320";"13";"58";"123";"139";"46";"8";"40";"47";"32";"56";"55";"113";"19";"21";"72";"49";"109";"15";"40";"96";"72";"29";"68"
;"ongeldige stembiljetten";;;"1522";"20";"46";"143";"142";"55";"12";"29";"48";"38";"44";"82";"116";"35";"30";"113";"55";"125";"19";"50";"118";"104";"34";"64"
;"aangetroffen stembiljetten";;;"749297";"12163";"29462";"59274";"65691";"21949";"11824";"19729";"20137";"19775";"28112";"30657";"37936";"15289";"16092";"38328";"25247";"69442";"12975";"33987";"47108";"58532";"30087";"45501"
;"meer stembiljetten dan toegelaten kiezers";;;"147";"1";"5";"6";"12";"3";"4";"3";"5";"0";"2";"13";"8";"1";"2";"9";"3";"14";"13";"0";"26";"13";"0";"4"
;"minder stembiljetten dan toegelaten kiezers";;;"223";"1";"8";"3";"19";"6";"0";"3";"14";"9";"11";"16";"15";"8";"0";"11";"13";"7";"2";"5";"25";"30";"3";"14"
;"kiezers met stembiljet hebben niet gestemd";;;"48";"0";"0";"0";"6";"3";"0";"0";"0";"2";"4";"0";"11";"0";"0";"0";"9";"2";"0";"5";"0";"3";"0";"3"
;"er zijn te weinig stembiljetten uitgereikt";;;"7";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"3";"0";"0"
;"er zijn te veel stembiljetten uitgereikt";;;"18";"1";"0";"0";"2";"2";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0";"3";"0";"0";"0";"1";"3";"0";"2"
;"geen verklaring";;;"248";"1";"13";"8";"10";"1";"0";"4";"19";"0";"8";"29";"1";"9";"2";"19";"0";"19";"15";"0";"46";"28";"3";"13"
;"andere verklaring";;;"14";"0";"0";"1";"0";"3";"0";"0";"0";"0";"0";"0";"6";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0"
"1";"VVD";;;"117000";"1392";"5143";"7413";"9016";"3566";"1304";"3405";"3399";"3272";"3640";"5056";"4755";"1763";"3335";"5255";"3734";"15341";"2925";"4213";"6768";"9647";"3975";"8683"
;;"1";"Yeşilgöz, D.";"100561";"1251";"4413";"6093";"7898";"3140";"1143";"3015";"3017";"2905";"3218";"4345";"4052";"1585";"2859";"4488";"3357";"11722";"2550";"3676";"6030";"8538";"3554";"7712"
;;"2";"Hermans, S.T.M.";"4744";"53";"257";"340";"405";"143";"81";"144";"120";"139";"163";"195";"182";"73";"169";"185";"155";"477";"97";"151";"277";"427";"166";"345"
;;"3";"Becker, B.";"1056";"11";"52";"104";"69";"34";"6";"24";"34";"29";"35";"81";"44";"19";"38";"38";"24";"116";"24";"18";"54";"78";"37";"87"
;;"4";"van der Burg, E.";"1518";"24";"83";"172";"153";"55";"21";"34";"53";"48";"39";"82";"52";"25";"54";"48";"42";"112";"39";"34";"73";"123";"61";"91"
;;"5";"van der Wal-Zeggelink, C.";"407";"4";"27";"38";"39";"14";"1";"7";"17";"15";"14";"20";"16";"7";"21";"19";"13";"33";"10";"4";"23";"27";"19";"19"
;;"6";"Brekelmans, R.P.";"504";"8";"24";"45";"50";"23";"9";"17";"6";"20";"21";"22";"17";"12";"13";"19";"14";"34";"7";"16";"30";"41";"19";"37"
;;"7";"Heinen, E.";"325";"2";"9";"34";"24";"8";"4";"10";"7";"10";"10";"53";"9";"2";"12";"5";"5";"62";"9";"0";"12";"21";"5";"12"
;;"8";"de Vries, A.";"254";"5";"11";"28";"26";"8";"2";"8";"7";"9";"7";"12";"12";"1";"4";"11";"6";"18";"6";"2";"18";"25";"7";"21"
;;"9";"Kamminga, R.J.";"121";"2";"10";"13";"8";"3";"5";"2";"4";"3";"4";"6";"5";"1";"1";"4";"3";"11";"3";"5";"9";"10";"0";"9"
