"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Haarlem"
"Nummer";;"HSB10"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Aalsmeer";"Amstelveen";"Beverwijk";"Blaricum";"Bloemendaal";"Diemen";"Haarlem";"Haarlemmermeer";"Heemskerk";"Heemstede";"Hilversum";"Huizen";"Laren";"Ouder-Amstel";"Uithoorn";"Velsen";"Zandvoort";"Wijdemeren";"Gooise Meren"
"Gebiednummer";;;;;"0358";"0362";"0375";"0376";"0377";"0384";"0392";"0394";"0396";"0397";"0402";"0406";"0417";"0437";"0451";"0453";"0473";"1696";"1942"
;"opgeroepenen";;;"714664";"23647";"58073";"31253";"9162";"17556";"20789";"116810";"116771";"31082";"20519";"65706";"32223";"8867";"10292";"22243";"52889";"13605";"19359";"43818"
;"geldig volmachtbewijs";;;"51212";"1790";"4191";"2053";"855";"1497";"1371";"6904";"9108";"2098";"1559";"4245";"2427";"796";"820";"1651";"3927";"1006";"1562";"3352"
;"geldige kiezerspas";;;"1979";"52";"148";"50";"23";"53";"44";"269";"263";"32";"61";"403";"58";"21";"22";"39";"87";"102";"122";"130"
;"geldige stembiljetten";;;"562984";"19537";"45302";"23057";"7765";"15404";"15198";"90936";"90180";"24167";"17447";"51247";"25750";"7326";"8324";"17493";"41214";"10561";"16075";"36001"
;"blanco stembiljetten";;;"967";"30";"92";"48";"13";"9";"33";"186";"161";"32";"27";"77";"35";"9";"8";"37";"83";"20";"21";"46"
;"ongeldige stembiljetten";;;"1381";"35";"149";"65";"19";"26";"64";"236";"221";"46";"29";"120";"58";"13";"20";"49";"92";"30";"26";"83"
;"aangetroffen stembiljetten";;;"565332";"19602";"45543";"23170";"7797";"15439";"15295";"91358";"90562";"24245";"17503";"51444";"25843";"7348";"8352";"17579";"41389";"10611";"16122";"36130"
;"meer stembiljetten dan toegelaten kiezers";;;"143";"2";"21";"3";"0";"2";"1";"39";"21";"6";"5";"16";"2";"0";"0";"2";"10";"3";"5";"5"
;"minder stembiljetten dan toegelaten kiezers";;;"406";"13";"65";"3";"1";"4";"6";"33";"145";"3";"8";"34";"15";"3";"5";"21";"13";"3";"7";"24"
;"kiezers met stembiljet hebben niet gestemd";;;"16";"0";"0";"2";"0";"1";"0";"4";"0";"1";"6";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;"er zijn te weinig stembiljetten uitgereikt";;;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;"er zijn te veel stembiljetten uitgereikt";;;"6";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"1";"1";"0";"0";"0";"0";"0";"0";"0"
;"geen verklaring";;;"475";"15";"86";"3";"0";"5";"6";"51";"161";"2";"1";"48";"14";"3";"1";"23";"17";"6";"11";"22"
;"andere verklaring";;;"23";"0";"0";"0";"0";"0";"0";"7";"5";"0";"1";"1";"0";"0";"0";"0";"2";"0";"1";"6"
"1";"VVD";;;"116491";"4898";"10336";"3538";"2652";"4981";"2183";"12852";"19742";"4093";"5117";"8896";"5435";"3040";"1677";"3912";"7097";"2410";"3892";"9740"
;;"1";"Yeşilgöz, D.";"101083";"4412";"9013";"3164";"2372";"4367";"1927";"10940";"17043";"3670";"4409";"7411";"4809";"2673";"1493";"3393";"6261";"2167";"3386";"8173"
;;"2";"Hermans, S.T.M.";"4557";"168";"338";"129";"88";"196";"69";"562";"631";"141";"216";"468";"210";"112";"51";"152";"267";"89";"235";"435"
;;"3";"Becker, B.";"1048";"38";"93";"22";"21";"46";"13";"130";"180";"42";"48";"80";"47";"24";"19";"31";"60";"25";"27";"102"
;;"4";"van der Burg, E.";"1989";"85";"208";"53";"30";"96";"58";"214";"303";"55";"117";"147";"90";"46";"37";"66";"111";"30";"64";"179"
;;"5";"van der Wal-Zeggelink, C.";"473";"13";"36";"5";"8";"27";"6";"51";"66";"13";"40";"43";"25";"17";"5";"14";"22";"9";"10";"63"
;;"6";"Brekelmans, R.P.";"578";"20";"51";"7";"13";"41";"10";"60";"71";"12";"35";"56";"29";"21";"5";"18";"30";"10";"17";"72"
;;"7";"Heinen, E.";"176";"4";"17";"3";"7";"12";"6";"10";"40";"4";"9";"11";"12";"6";"3";"3";"6";"2";"6";"15"
;;"8";"de Vries, A.";"264";"9";"35";"9";"4";"9";"0";"38";"35";"7";"10";"20";"15";"3";"4";"12";"22";"4";"10";"18"
;;"9";"Kamminga, R.J.";"108";"3";"9";"7";"2";"5";"1";"10";"22";"6";"4";"9";"2";"2";"1";"3";"13";"1";"2";"6"
;;"10";"Paul, M.L.J.";"323";"9";"49";"10";"8";"9";"12";"40";"63";"6";"17";"16";"7";"10";"6";"14";"11";"4";"3";"29"
;;"11";"Erkens, S.P.A.";"86";"1";"8";"1";"2";"2";"1";"13";"10";"2";"5";"11";"3";"8";"1";"3";"5";"1";"2";"7"
;;"12";"Rajkowski, Q.M.";"201";"7";"17";"5";"7";"6";"2";"33";"22";"8";"9";"18";"9";"4";"4";"4";"10";"5";"12";"19"
;;"13";"Aartsen, A.A.";"74";"3";"5";"1";"4";"1";"1";"12";"16";"4";"2";"7";"4";"3";"1";"0";"3";"1";"4";"2"
