"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Lelystad"
"Nummer";;"HSB5"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Almere";"Zeewolde";"Noordoostpolder";"Urk";"Dronten";"Lelystad"
"Gebiednummer";;;;;"0034";"0050";"0171";"0184";"0303";"0995"
;"opgeroepenen";;;"315742";"156188";"17340";"35277";"14526";"32679";"59732"
;"geldig volmachtbewijs";;;"24369";"11210";"1488";"2728";"2456";"2308";"4179"
;"geldige kiezerspas";;;"507";"189";"62";"70";"17";"76";"93"
;"geldige stembiljetten";;;"227608";"104685";"14375";"28593";"12746";"26430";"40779"
;"blanco stembiljetten";;;"525";"291";"33";"44";"14";"54";"89"
;"ongeldige stembiljetten";;;"629";"379";"20";"46";"25";"32";"127"
;"aangetroffen stembiljetten";;;"228762";"105355";"14428";"28683";"12785";"26516";"40995"
;"meer stembiljetten dan toegelaten kiezers";;;"35";"24";"3";"0";"0";"4";"4"
;"minder stembiljetten dan toegelaten kiezers";;;"49";"29";"1";"8";"1";"4";"6"
;"kiezers met stembiljet hebben niet gestemd";;;"8";"5";"0";"0";"1";"1";"1"
;"er zijn te weinig stembiljetten uitgereikt";;;"1";"0";"0";"0";"0";"1";"0"
;"er zijn te veel stembiljetten uitgereikt";;;"1";"0";"0";"0";"0";"0";"1"
;"geen verklaring";;;"49";"34";"1";"8";"0";"3";"3"
;"andere verklaring";;;"23";"14";"3";"0";"0";"2";"4"
"1";"VVD";;;"33539";"16578";"2542";"3736";"109";"4392";"6182"
;;"1";"Yeşilgöz, D.";"28840";"14248";"2161";"3268";"99";"3703";"5361"
;;"2";"Hermans, S.T.M.";"1192";"547";"110";"135";"2";"146";"252"
;;"3";"Becker, B.";"369";"161";"35";"33";"0";"88";"52"
;;"4";"van der Burg, E.";"427";"201";"37";"47";"1";"52";"89"
;;"5";"van der Wal-Zeggelink, C.";"232";"54";"54";"20";"1";"50";"53"
;;"6";"Brekelmans, R.P.";"106";"49";"14";"5";"1";"13";"24"
;;"7";"Heinen, E.";"43";"26";"1";"3";"0";"7";"6"
;;"8";"de Vries, A.";"95";"41";"6";"20";"2";"8";"18"
;;"9";"Kamminga, R.J.";"47";"26";"2";"7";"0";"4";"8"
;;"10";"Paul, M.L.J.";"39";"23";"5";"0";"0";"6";"5"
;;"11";"Erkens, S.P.A.";"13";"5";"1";"2";"0";"1";"4"
;;"12";"Rajkowski, Q.M.";"52";"31";"4";"5";"0";"2";"10"
;;"13";"Aartsen, A.A.";"25";"10";"3";"5";"0";"2";"5"
;;"14";"van Campen, A.A.H.";"48";"7";"1";"19";"1";"15";"5"
;;"15";"Tielen, J.Z.C.M.";"31";"16";"4";"1";"0";"6";"4"
;;"16";"Veltman-Kamp, H.N.";"26";"12";"4";"2";"0";"4";"4"
;;"17";"van Eijk-Nagel, W.P.J.";"18";"12";"0";"1";"0";"3";"2"
;;"18";"Ellian, U.";"717";"649";"5";"6";"0";"14";"43"
;;"19";"Michon-Derkzen, I.J.M.";"12";"6";"2";"0";"0";"0";"4"
;;"20";"Martens-America, C.";"37";"28";"1";"1";"1";"2";"4"
;;"21";"Meulenkamp, W.J.H.";"15";"3";"9";"0";"0";"0";"3"
;;"22";"de Groot, P.C.";"62";"8";"42";"0";"0";"8";"4"
;;"23";"Kisteman, A.";"16";"4";"0";"3";"1";"5";"3"
;;"24";"de Kort, A.H.J.";"8";"5";"1";"0";"0";"0";"2"
;;"25";"van den Hil, J.";"28";"14";"2";"1";"0";"5";"6"
;;"26";"Valstar, P.J.";"15";"8";"2";"2";"0";"2";"1"
;;"27";"Bevers, H.";"10";"7";"0";"1";"0";"0";"2"
;;"28";"Buijsse, M.R.G.";"5";"0";"1";"0";"0";"4";"0"
;;"29";"Dral, R.M.";"28";"15";"1";"5";"0";"2";"5"
;;"30";"Bikkers, B.T.";"11";"2";"1";"1";"0";"2";"5"
;;"31";"Verkuijlen, R.";"8";"3";"0";"0";"0";"0";"5"
;;"32";"Richardson, S.M.";"28";"15";"1";"2";"0";"6";"4"
;;"33";"de Beer, M.E.E.";"8";"7";"0";"0";"0";"0";"1"
;;"34";"van Strien, P.J.T.";"4";"3";"0";"0";"0";"0";"1"
;;"35";"Hartsuiker, R.J.J.";"6";"3";"1";"0";"0";"1";"1"
;;"36";"Klein Lankhorst, H.";"6";"3";"1";"1";"0";"1";"0"
;;"37";"Haverkort, E.A.";"12";"3";"0";"2";"0";"7";"0"
;;"38";"Simons, C.";"9";"7";"0";"0";"0";"1";"1"
;;"39";"Bijenhof, Y.";"5";"1";"1";"1";"0";"1";"1"
;;"40";"van Groningen, D.A.";"8";"1";"2";"0";"0";"1";"4"
;;"41";"Zeeuw van der Laan, E.M.";"12";"6";"1";"0";"0";"1";"4"
;;"42";"Volkman, Y.";"6";"2";"0";"1";"0";"0";"3"
;;"43";"van Kessel, P.W.";"4";"1";"2";"1";"0";"0";"0"
;;"44";"Rahimi, H.";"38";"33";"0";"0";"0";"0";"5"
;;"45";"Omlo, B.F.";"10";"3";"0";"2";"0";"2";"3"
;;"46";"Yizhak Cooremans, R.A.T.";"2";"2";"0";"0";"0";"0";"0"
;;"47";"Nelisse, R.M.L.";"9";"0";"0";"4";"0";"2";"3"
;;"48";"de Wit, B.G.P.";"7";"2";"0";"4";"0";"0";"1"
;;"49";"van Meerten-Kok, M.A.";"9";"3";"1";"1";"0";"2";"2"
;;"50";"Hoogezand, B.";"220";"8";"12";"6";"0";"188";"6"
;;"51";"Achterbergh, M.";"8";"5";"0";"1";"0";"0";"2"
;;"52";"Wendel, H.";"19";"8";"2";"2";"0";"3";"4"
;;"53";"Kohli, N.R.";"169";"145";"0";"0";"0";"2";"22"
;;"54";"Klerks, I.C.";"4";"2";"1";"0";"0";"0";"1"
;;"55";"Dijkema, H.M.";"1";"1";"0";"0";"0";"0";"0"
;;"56";"Elkerbout, A.";"6";"4";"0";"0";"0";"1";"1"
;;"57";"van Rijn, D.";"1";"1";"0";"0";"0";"0";"0"
;;"58";"Aptroot, B.W.";"2";"0";"1";"1";"0";"0";"0"
;;"59";"de Regt, L.H.P.";"4";"4";"0";"0";"0";"0";"0"
;;"60";"van Veen, J.";"104";"2";"0";"1";"0";"4";"97"
;;"61";"Vulpes, M.J.";"4";"2";"0";"1";"0";"1";"0"
;;"62";"van Os, J.L.P.";"101";"0";"0";"100";"0";"1";"0"
;;"63";"van der Klauw, R.A.";"1";"1";"0";"0";"0";"0";"0"
;;"64";"Rahmani, A.";"5";"4";"0";"0";"0";"0";"1"
;;"65";"Bouma, R.A.";"1";"0";"0";"0";"0";"0";"1"
;;"66";"van Berlo, J.T.M.";"1";"0";"0";"0";"0";"0";"1"
;;"67";"Talens, A.E.";"4";"2";"0";"0";"0";"0";"2"
;;"68";"Bruin, R.N.";"3";"1";"0";"1";"0";"1";"0"
;;"69";"van 't Hull-Bettink, G.D.W.";"12";"10";"0";"1";"0";"1";"0"
;;"70";"Gadella, J.A.N.";"1";"1";"0";"0";"0";"0";"0"
;;"71";"Vermeulen, D.";"3";"1";"0";"1";"0";"0";"1"
;;"72";"van Noort-Cnossen, M.G.";"5";"2";"0";"3";"0";"0";"0"
;;"73";"Van der Sanden, M.M.E.";"2";"2";"0";"0";"0";"0";"0"
;;"74";"Rodoe, H.";"1";"1";"0";"0";"0";"0";"0"
;;"75";"Schollink, C.D.";"2";"1";"0";"1";"0";"0";"0"
;;"76";"de Wolff, I.";"5";"4";"1";"0";"0";"0";"0"
;;"77";"de Boer, Y.";"4";"4";"0";"0";"0";"0";"0"
;;"78";"Yildirim, M.";"2";"2";"0";"0";"0";"0";"0"
;;"79";"Mulder, H.";"25";"10";"2";"2";"0";"1";"10"
;;"80";"van der Weijden, M.";"61";"34";"4";"3";"0";"10";"10"
"2";"D66";;;"10232";"5687";"740";"873";"20";"1090";"1822"
;;"1";"Jetten, R.A.A.";"6944";"3837";"511";"596";"15";"732";"1253"
;;"2";"Paternotte, J.M.";"304";"169";"19";"22";"0";"33";"61"
;;"3";"Vijlbrief, J.A.";"135";"67";"13";"15";"0";"11";"29"
;;"4";"Podt, A.";"1078";"534";"99";"88";"2";"146";"209"
;;"5";"Sneller, J.C.";"41";"24";"2";"2";"0";"4";"9"
;;"6";"Rooderkerk, I.";"199";"133";"14";"7";"0";"18";"27"
;;"7";"Paulusma, W.";"127";"51";"4";"30";"1";"20";"21"
;;"8";"van der Werf, J.J.";"98";"54";"6";"9";"0";"11";"18"
;;"9";"Bamenga, P.";"49";"34";"1";"5";"0";"2";"7"
;;"10";"de Groot, T.C.";"61";"24";"3";"12";"0";"5";"17"
;;"11";"Synhaeve, M.";"86";"38";"4";"10";"0";"15";"19"
;;"12";"van Ginneken, L.M.";"141";"95";"6";"8";"0";"8";"24"
;;"13";"Belhaj, S.";"78";"48";"5";"6";"0";"7";"12"
;;"14";"Boulakjar, F.";"9";"8";"0";"0";"0";"0";"1"
;;"15";"Sahla, F.";"24";"14";"0";"5";"0";"1";"4"
;;"16";"Klos, F.C.O.";"13";"9";"1";"1";"0";"1";"1"
;;"17";"Kat, H.";"25";"19";"1";"0";"0";"3";"2"
;;"18";"Warmerdam, S.";"5";"2";"0";"0";"1";"1";"1"
;;"19";"Alberg, S.T.";"262";"217";"10";"3";"0";"15";"17"
;;"20";"Hammelburg, A.R.";"9";"6";"0";"1";"0";"1";"1"
;;"21";"Hollander, J.";"32";"9";"3";"10";"0";"6";"4"
;;"22";"ten Dolle, L.";"20";"9";"2";"2";"0";"2";"5"
;;"23";"Blommers, D.";"13";"9";"0";"1";"0";"0";"3"
;;"24";"van Breugel, C.";"27";"14";"5";"4";"0";"1";"3"
;;"25";"Teunissen, J.C.M.";"2";"1";"1";"0";"0";"0";"0"
;;"26";"Çimen, M.";"14";"9";"1";"1";"0";"0";"3"
;;"27";"Oualhadj, A.";"13";"10";"0";"1";"0";"0";"2"
;;"28";"Putuhena, M.";"4";"1";"0";"2";"0";"0";"1"
;;"29";"Keij, E.J.";"2";"1";"0";"1";"0";"0";"0"
;;"30";"Brink, V.J.";"3";"3";"0";"0";"0";"0";"0"
;;"31";"van Dorst, P.A.";"6";"4";"0";"0";"0";"2";"0"
;;"32";"Wijnja, G.H.";"18";"1";"0";"8";"0";"8";"1"
;;"33";"de Vries, M.M.";"9";"6";"0";"1";"0";"0";"2"
;;"34";"Schoonbeek, F.";"3";"0";"2";"0";"0";"1";"0"
;;"35";"Mathlouti, M.";"1";"1";"0";"0";"0";"0";"0"
;;"36";"Ruttenberg, W.C.J.";"2";"2";"0";"0";"0";"0";"0"
;;"37";"Koops, J.H.";"3";"1";"0";"0";"0";"1";"1"
;;"38";"Hagen, K.B.";"25";"9";"4";"0";"0";"3";"9"
;;"39";"Hiemstra, G.J.";"2";"0";"0";"0";"0";"0";"2"
;;"40";"Keijmel - den Boer, J.M.I.";"3";"3";"0";"0";"0";"0";"0"
;;"41";"Tjeerdema, H.";"8";"1";"1";"1";"0";"2";"3"
;;"42";"Woudstra, E.";"5";"3";"0";"1";"0";"1";"0"
;;"43";"Olsthoorn, A.";"1";"0";"0";"0";"0";"1";"0"
;;"44";"van Peski, C.J.";"1";"0";"0";"0";"0";"1";"0"
;;"45";"van Hattum, B.";"0";"0";"0";"0";"0";"0";"0"
;;"46";"Dekker-Abdulaziz, H.";"10";"4";"0";"0";"0";"1";"5"
;;"47";"van Driel, M.";"6";"1";"1";"1";"0";"2";"1"
;;"48";"Ruijs, L.J.M.";"4";"1";"0";"0";"0";"0";"3"
;;"49";"van der Gaag, P.J.";"1";"1";"0";"0";"0";"0";"0"
;;"50";"Bosters, E.L.";"1";"0";"1";"0";"0";"0";"0"
;;"51";"Hoevers, J.";"0";"0";"0";"0";"0";"0";"0"
;;"52";"van de Vijver, V.F.";"2";"2";"0";"0";"0";"0";"0"
;;"53";"Vemer, P.";"3";"1";"0";"0";"0";"0";"2"
;;"54";"Wallast, R.D.";"1";"0";"0";"0";"0";"0";"1"
;;"55";"André, E.S.";"1";"0";"0";"0";"0";"0";"1"
;;"56";"Wesseling, A.";"1";"0";"0";"1";"0";"0";"0"
;;"57";"Maessen, R.J.M.";"1";"0";"1";"0";"0";"0";"0"
;;"58";"Schoonen, M.";"2";"2";"0";"0";"0";"0";"0"
;;"59";"Pi Van de Venne, P.R.";"0";"0";"0";"0";"0";"0";"0"
;;"60";"Jenneskens, M.T.P.";"3";"0";"1";"0";"0";"0";"2"
;;"61";"Janssen, S.L.J.";"3";"3";"0";"0";"0";"0";"0"
;;"62";"de Vries, L.";"2";"1";"0";"0";"0";"0";"1"
;;"63";"Chaban, S.";"2";"0";"0";"0";"0";"2";"0"
;;"64";"Louhenapessij, A.F.";"1";"1";"0";"0";"0";"0";"0"
;;"65";"Nooitmeer, L.I.";"8";"5";"0";"1";"0";"0";"2"
;;"66";"van Essen, J.";"0";"0";"0";"0";"0";"0";"0"
;;"67";"Nunnely, J.M.";"2";"2";"0";"0";"0";"0";"0"
;;"68";"Türkkol, N.";"3";"2";"0";"0";"0";"1";"0"
;;"69";"van der Voort, P.H.J.";"1";"0";"0";"0";"0";"0";"1"
;;"70";"Hendrickx, M.T.M.";"3";"2";"0";"0";"0";"0";"1"
;;"71";"Gräper-van Koolwijk, F.Q.";"1";"1";"0";"0";"0";"0";"0"
;;"72";"Weerwind, F.M.";"51";"48";"1";"0";"0";"0";"2"
;;"73";"van Huffelen, A.C.";"9";"8";"0";"0";"0";"0";"1"
;;"74";"Kuipers, E.J.";"8";"3";"1";"2";"0";"1";"1"
;;"75";"Ollongren, K.H.";"13";"8";"2";"0";"0";"2";"1"
;;"76";"Dijkgraaf, R.H.";"57";"32";"4";"6";"0";"8";"7"
;;"77";"Uslu, G.";"10";"6";"0";"0";"1";"2";"1"
;;"78";"Pechtold, A.";"32";"19";"2";"5";"0";"1";"5"
;;"79";"Terlouw, J.C.";"13";"5";"2";"1";"0";"2";"3"
;;"80";"Kaag, S.A.M.";"72";"49";"6";"3";"0";"5";"9"
"3";"GROENLINKS / Partij van de Arbeid (PvdA)";;;"26859";"15703";"1313";"2208";"83";"2373";"5179"
;;"1";"Timmermans, F.C.G.M.";"13566";"7603";"670";"1222";"49";"1231";"2791"
;;"2";"Lahlah, A.";"3509";"2181";"147";"241";"10";"281";"649"
;;"3";"Klaver, J.F.";"3167";"1900";"179";"256";"2";"270";"560"
;;"4";"Piri, K.P.";"665";"397";"31";"53";"2";"53";"129"
;;"5";"Westerveld, E.M.";"1942";"1026";"129";"163";"8";"226";"390"
;;"6";"Patijn, M.H.";"308";"199";"18";"17";"1";"24";"49"
;;"7";"Kröger, S.C.";"402";"264";"15";"15";"3";"35";"70"
;;"8";"Bushoff, T.J.";"68";"26";"3";"17";"0";"10";"12"
;;"9";"van der Lee, T.M.T.";"59";"35";"1";"4";"1";"8";"10"
;;"10";"Mutluer, S.";"124";"90";"1";"4";"0";"4";"25"
;;"11";"Bromet, L.";"315";"187";"9";"19";"1";"41";"58"
;;"12";"de Hoop, H.E.";"202";"82";"12";"56";"0";"17";"35"
;;"13";"Maatoug, S.";"119";"78";"2";"5";"0";"10";"24"
;;"14";"Mohandis, M.";"62";"43";"3";"4";"0";"1";"11"
;;"15";"Gabriëls, G.J.W.";"23";"14";"0";"1";"0";"4";"4"
;;"16";"Thijssen, J.";"36";"27";"2";"3";"0";"0";"4"
;;"17";"Bouchallikh, K.";"204";"161";"1";"9";"1";"4";"28"
;;"18";"Kathmann, B.C.";"64";"32";"4";"3";"0";"5";"20"
;;"19";"Slagt-Tichelman, E.";"99";"33";"5";"28";"0";"16";"17"
;;"20";"Tseggai, M.";"94";"65";"2";"5";"0";"6";"16"
;;"21";"White, R.J.";"85";"71";"2";"0";"0";"2";"10"
;;"22";"Pijpelink, A.";"79";"43";"5";"4";"1";"8";"18"
;;"23";"Chakor, G.";"102";"68";"8";"6";"0";"9";"11"
;;"24";"Nordkamp, J.";"7";"3";"0";"1";"0";"1";"2"
;;"25";"Stultiens, L.C.J.";"14";"9";"0";"0";"0";"0";"5"
;;"26";"Haage, M.W.";"148";"100";"10";"4";"0";"12";"22"
;;"27";"Hirsch, D.H.";"210";"149";"11";"5";"0";"12";"33"
;;"28";"de Jong, H.A.";"27";"17";"0";"2";"0";"1";"7"
;;"29";"Postma, J.P.";"5";"3";"0";"0";"0";"1";"1"
;;"30";"Oosting, I.";"82";"38";"4";"13";"0";"9";"18"
;;"31";"de Boer, M.M.";"61";"45";"0";"4";"1";"2";"9"
;;"32";"Daenen, J.W.B.";"7";"5";"0";"1";"0";"0";"1"
;;"33";"Ranshuijsen, A.B.";"89";"57";"4";"6";"0";"13";"9"
;;"34";"Köseoglu, E.";"88";"63";"0";"1";"0";"13";"11"
;;"35";"van Roemburg, E.T.W.";"25";"10";"5";"3";"1";"4";"2"
;;"36";"Nessar, A.";"448";"366";"7";"5";"0";"16";"54"
