"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Maastricht"
"Nummer";;"HSB19"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Landgraaf";"Beek";"Beesel";"Bergen (L)";"Brunssum";"Gennep";"Heerlen";"Kerkrade";"Maastricht";"Meerssen";"Mook en Middelaar";"Nederweert";"Roermond";"Simpelveld";"Stein";"Vaals";"Venlo";"Venray";"Voerendaal";"Weert";"Valkenburg aan de Geul";"Horst aan de Maas";"Leudal";"Maasgouw";"Roerdalen";"Echt-Susteren";"Gulpen-Wittem";"Sittard-Geleen";"Peel en Maas";"Eijsden-Margraten";"Beekdaelen"
"Gebiednummer";;;;;"0882";"0888";"0889";"0893";"0899";"0907";"0917";"0928";"0935";"0938";"0944";"0946";"0957";"0965";"0971";"0981";"0983";"0984";"0986";"0988";"0994";"1507";"1640";"1641";"1669";"1711";"1729";"1883";"1894";"1903";"1954"
;"opgeroepenen";;;"873398";"29799";"12926";"10672";"10619";"22435";"13989";"68247";"34322";"86888";"15045";"6605";"13892";"45612";"8167";"20518";"5841";"75663";"34101";"9995";"39477";"13421";"33575";"28718";"20005";"16563";"25805";"11682";"73986";"35158";"20592";"29080"
;"geldig volmachtbewijs";;;"68789";"2333";"893";"782";"958";"1873";"1077";"4850";"2361";"6349";"1265";"483";"1241";"3272";"731";"1651";"477";"5745";"2642";"904";"3081";"1143";"2727";"2338";"1504";"1300";"2207";"1130";"5933";"3157";"1933";"2449"
;"geldige kiezerspas";;;"3543";"52";"29";"114";"45";"37";"135";"81";"49";"569";"42";"25";"20";"105";"30";"51";"213";"252";"74";"10";"147";"377";"172";"60";"52";"86";"50";"212";"166";"79";"152";"57"
;"geldige stembiljetten";;;"653041";"21806";"10222";"8106";"8273";"15588";"10910";"44987";"23032";"63185";"12082";"5710";"11014";"31839";"6431";"16041";"4277";"55290";"26052";"8235";"29948";"10806";"27346";"22711";"15126";"12639";"19959";"9610";"53905";"28145";"16892";"22874"
;"blanco stembiljetten";;;"1640";"64";"34";"17";"11";"50";"10";"116";"65";"145";"27";"11";"26";"92";"33";"29";"6";"146";"56";"32";"64";"29";"71";"53";"38";"29";"38";"24";"152";"69";"42";"61"
;"ongeldige stembiljetten";;;"1219";"41";"17";"7";"16";"27";"21";"124";"85";"124";"13";"8";"16";"67";"6";"29";"19";"110";"58";"11";"56";"12";"41";"37";"30";"24";"30";"15";"82";"34";"21";"38"
;"aangetroffen stembiljetten";;;"655900";"21911";"10273";"8130";"8300";"15665";"10941";"45227";"23182";"63454";"12122";"5729";"11056";"31998";"6470";"16099";"4302";"55546";"26166";"8278";"30068";"10847";"27458";"22801";"15194";"12692";"20027";"9649";"54139";"28248";"16955";"22973"
;"meer stembiljetten dan toegelaten kiezers";;;"106";"1";"0";"0";"0";"4";"0";"3";"0";"11";"5";"1";"2";"40";"0";"2";"0";"14";"3";"0";"7";"1";"0";"0";"1";"2";"0";"0";"1";"0";"0";"8"
;"minder stembiljetten dan toegelaten kiezers";;;"162";"22";"2";"0";"0";"5";"2";"5";"0";"32";"7";"0";"8";"25";"1";"3";"0";"3";"9";"0";"2";"6";"1";"1";"2";"2";"5";"4";"8";"5";"0";"2"
