"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Middelburg"
"Nummer";;"HSB16"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Borsele";"Goes";"Hulst";"Kapelle";"Middelburg";"Reimerswaal";"Terneuzen";"Tholen";"Veere";"Vlissingen";"Schouwen-Duiveland";"Noord-Beveland";"Sluis"
"Gebiednummer";;;;;"0654";"0664";"0677";"0678";"0687";"0703";"0715";"0716";"0717";"0718";"1676";"1695";"1714"
;"opgeroepenen";;;"294220";"17854";"30954";"19631";"9927";"37685";"16004";"39696";"20157";"17322";"34170";"27618";"6387";"16815"
;"geldig volmachtbewijs";;;"25064";"1684";"2404";"1831";"883";"2837";"1802";"3055";"2386";"1516";"2268";"2376";"443";"1579"
;"geldige kiezerspas";;;"1606";"61";"91";"41";"22";"122";"26";"84";"47";"302";"90";"380";"104";"236"
;"geldige stembiljetten";;;"230885";"14982";"23824";"14941";"8427";"29510";"13371";"28902";"16609";"15080";"24153";"23077";"5192";"12817"
;"blanco stembiljetten";;;"385";"34";"53";"14";"19";"50";"9";"39";"25";"19";"58";"32";"12";"21"
;"ongeldige stembiljetten";;;"459";"22";"58";"29";"16";"65";"27";"72";"21";"15";"69";"39";"9";"17"
;"aangetroffen stembiljetten";;;"231729";"15038";"23935";"14984";"8462";"29625";"13407";"29013";"16655";"15114";"24280";"23148";"5213";"12855"
;"meer stembiljetten dan toegelaten kiezers";;;"25";"0";"3";"0";"0";"5";"0";"0";"4";"1";"9";"2";"1";"0"
;"minder stembiljetten dan toegelaten kiezers";;;"56";"1";"9";"1";"5";"12";"5";"0";"1";"5";"7";"5";"1";"4"
;"kiezers met stembiljet hebben niet gestemd";;;"29";"0";"7";"1";"3";"12";"0";"0";"0";"0";"1";"4";"1";"0"
;"er zijn te weinig stembiljetten uitgereikt";;;"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;"er zijn te veel stembiljetten uitgereikt";;;"6";"0";"1";"0";"0";"3";"0";"0";"1";"0";"0";"0";"1";"0"
;"geen verklaring";;;"21";"0";"0";"0";"0";"0";"0";"0";"4";"6";"7";"0";"0";"4"
;"andere verklaring";;;"10";"0";"0";"0";"2";"0";"0";"0";"0";"0";"8";"0";"0";"0"
"1";"VVD";;;"33962";"1979";"3861";"2506";"1355";"3933";"1263";"4018";"1728";"2572";"3485";"4014";"847";"2401"
;;"1";"Yeşilgöz, D.";"29322";"1684";"3138";"2235";"1107";"3339";"1059";"3542";"1564";"2233";"3020";"3559";"756";"2086"
;;"2";"Hermans, S.T.M.";"990";"52";"99";"77";"33";"120";"42";"123";"49";"87";"109";"117";"16";"66"
;;"3";"Becker, B.";"145";"9";"22";"9";"5";"18";"4";"16";"5";"12";"16";"12";"0";"17"
;;"4";"van der Burg, E.";"293";"15";"34";"15";"10";"42";"12";"28";"14";"27";"24";"47";"8";"17"
;;"5";"van der Wal-Zeggelink, C.";"72";"6";"3";"6";"1";"11";"4";"12";"2";"13";"5";"6";"0";"3"
;;"6";"Brekelmans, R.P.";"121";"6";"8";"3";"4";"24";"3";"13";"6";"14";"14";"17";"2";"7"
;;"7";"Heinen, E.";"23";"1";"2";"3";"3";"2";"0";"0";"2";"1";"5";"3";"0";"1"
;;"8";"de Vries, A.";"48";"5";"5";"4";"3";"8";"0";"1";"3";"3";"4";"8";"1";"3"
;;"9";"Kamminga, R.J.";"17";"1";"1";"2";"0";"3";"1";"0";"0";"3";"1";"2";"1";"2"
;;"10";"Paul, M.L.J.";"19";"0";"7";"0";"0";"3";"1";"2";"1";"1";"1";"1";"1";"1"
;;"11";"Erkens, S.P.A.";"18";"1";"2";"2";"0";"2";"0";"2";"1";"2";"1";"0";"1";"4"
;;"12";"Rajkowski, Q.M.";"27";"1";"1";"1";"1";"1";"1";"3";"0";"0";"2";"3";"0";"13"
;;"13";"Aartsen, A.A.";"28";"2";"1";"3";"0";"3";"3";"3";"2";"3";"1";"3";"1";"3"
;;"14";"van Campen, A.A.H.";"15";"0";"4";"3";"0";"0";"0";"3";"1";"1";"1";"0";"0";"2"
;;"15";"Tielen, J.Z.C.M.";"20";"5";"3";"0";"1";"0";"1";"0";"2";"2";"6";"0";"0";"0"
;;"16";"Veltman-Kamp, H.N.";"7";"0";"2";"0";"1";"1";"0";"1";"1";"1";"0";"0";"0";"0"
;;"17";"van Eijk-Nagel, W.P.J.";"19";"1";"2";"0";"4";"2";"1";"0";"2";"3";"2";"1";"0";"1"
;;"18";"Ellian, U.";"19";"1";"1";"1";"0";"7";"1";"1";"1";"0";"1";"2";"1";"2"
;;"19";"Michon-Derkzen, I.J.M.";"5";"1";"0";"0";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0"
;;"20";"Martens-America, C.";"4";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0"
;;"21";"Meulenkamp, W.J.H.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
;;"22";"de Groot, P.C.";"9";"1";"2";"0";"0";"0";"0";"0";"1";"2";"1";"1";"0";"1"
;;"23";"Kisteman, A.";"4";"1";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
;;"24";"de Kort, A.H.J.";"16";"1";"5";"1";"0";"2";"0";"3";"0";"0";"2";"0";"0";"2"
;;"25";"van den Hil, J.";"1994";"145";"472";"107";"156";"161";"96";"192";"47";"106";"169";"187";"53";"103"
;;"26";"Valstar, P.J.";"19";"2";"3";"0";"2";"0";"1";"5";"1";"1";"3";"1";"0";"0"
;;"27";"Bevers, H.";"4";"0";"1";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0"
;;"28";"Buijsse, M.R.G.";"21";"0";"0";"0";"0";"3";"1";"1";"0";"0";"0";"0";"0";"16"
;;"29";"Dral, R.M.";"15";"1";"0";"0";"0";"2";"3";"2";"1";"0";"2";"1";"1";"2"
