"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Zwolle"
"Nummer";;"HSB4"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Almelo";"Borne";"Dalfsen";"Deventer";"Enschede";"Haaksbergen";"Hardenberg";"Hellendoorn";"Hengelo (O)";"Kampen";"Losser";"Oldenzaal";"Ommen";"Raalte";"Staphorst";"Tubbergen";"Wierden";"Zwolle";"Twenterand";"Steenwijkerland";"Hof van Twente";"Rijssen-Holten";"Olst-Wijhe";"Dinkelland";"Zwartewaterland"
"Gebiednummer";;;;;"0141";"0147";"0148";"0150";"0153";"0158";"0160";"0163";"0164";"0166";"0168";"0173";"0175";"0177";"0180";"0183";"0189";"0193";"1700";"1708";"1735";"1742";"1773";"1774";"1896"
;"opgeroepenen";;;"915361";"56490";"18938";"23026";"78846";"120497";"19575";"48928";"28757";"65009";"41885";"18638";"25257";"14645";"30429";"12651";"17107";"19462";"101901";"26498";"35826";"28422";"29048";"14967";"21425";"17134"
;"geldig volmachtbewijs";;;"66162";"3993";"1378";"1819";"5022";"8166";"1467";"3307";"2011";"4554";"3506";"1421";"1753";"1131";"2002";"1332";"1599";"1535";"6330";"1969";"2449";"2132";"2807";"931";"1851";"1697"
;"geldige kiezerspas";;;"2695";"138";"44";"81";"252";"290";"46";"133";"99";"116";"70";"112";"67";"78";"76";"22";"43";"61";"295";"48";"110";"116";"185";"43";"141";"29"
;"geldige stembiljetten";;;"745781";"40826";"16283";"20344";"62630";"88382";"16620";"41499";"24619";"50051";"35412";"15293";"20990";"12722";"25886";"11523";"15120";"17102";"82382";"21982";"29572";"24355";"25661";"12664";"18860";"15003"
;"blanco stembiljetten";;;"1221";"61";"14";"31";"113";"152";"11";"52";"31";"97";"60";"20";"54";"15";"53";"15";"16";"17";"184";"37";"60";"31";"33";"31";"23";"10"
;"ongeldige stembiljetten";;;"1457";"150";"27";"23";"142";"248";"23";"78";"42";"105";"54";"35";"40";"21";"29";"21";"11";"17";"182";"39";"50";"37";"31";"13";"21";"18"
;"aangetroffen stembiljetten";;;"748459";"41037";"16324";"20398";"62885";"88782";"16654";"41629";"24692";"50253";"35526";"15348";"21084";"12758";"25968";"11559";"15147";"17136";"82748";"22058";"29682";"24423";"25725";"12708";"18904";"15031"
;"meer stembiljetten dan toegelaten kiezers";;;"160";"29";"0";"1";"25";"11";"2";"0";"4";"25";"11";"2";"2";"3";"2";"0";"2";"3";"18";"1";"7";"0";"0";"11";"1";"0"
;"minder stembiljetten dan toegelaten kiezers";;;"349";"70";"5";"4";"82";"11";"5";"2";"1";"45";"20";"3";"0";"1";"12";"1";"1";"3";"27";"6";"9";"1";"3";"12";"16";"9"
;"kiezers met stembiljet hebben niet gestemd";;;"53";"4";"0";"3";"14";"0";"0";"0";"0";"19";"0";"0";"0";"1";"0";"0";"0";"1";"1";"4";"1";"0";"3";"0";"0";"2"
;"er zijn te weinig stembiljetten uitgereikt";;;"8";"0";"0";"2";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;"er zijn te veel stembiljetten uitgereikt";;;"26";"1";"0";"0";"10";"0";"0";"0";"1";"1";"0";"2";"2";"3";"0";"0";"0";"0";"2";"1";"0";"0";"0";"2";"1";"0"
;"geen verklaring";;;"341";"44";"4";"0";"81";"22";"6";"2";"3";"32";"31";"0";"0";"0";"13";"0";"2";"5";"40";"2";"12";"1";"0";"21";"15";"5"
;"andere verklaring";;;"81";"50";"1";"0";"2";"0";"1";"0";"1";"12";"0";"3";"0";"0";"1";"1";"1";"0";"2";"0";"3";"0";"0";"0";"1";"2"
"1";"VVD";;;"83053";"4483";"2157";"2522";"7481";"7817";"2011";"4041";"2791";"5427";"3166";"1701";"2822";"1449";"3978";"655";"1661";"2293";"10524";"1567";"3837";"3480";"2085";"1553";"2407";"1145"
;;"1";"Yeşilgöz, D.";"70142";"3671";"1776";"2219";"6468";"6482";"1724";"3586";"2441";"4481";"2771";"1476";"2453";"1296";"3539";"561";"1431";"1918";"8287";"1385";"3385";"2530";"1790";"1395";"2047";"1030"
;;"2";"Hermans, S.T.M.";"3174";"184";"92";"59";"330";"380";"76";"125";"91";"259";"113";"72";"97";"48";"128";"23";"35";"92";"387";"45";"157";"110";"97";"49";"92";"33"
;;"3";"Becker, B.";"636";"31";"14";"16";"85";"69";"12";"31";"20";"53";"22";"14";"23";"9";"24";"2";"4";"13";"87";"7";"26";"23";"19";"9";"17";"6"
;;"4";"van der Burg, E.";"967";"39";"20";"28";"124";"132";"23";"38";"28";"67";"41";"15";"30";"9";"34";"3";"19";"36";"127";"16";"42";"26";"33";"15";"15";"7"
;;"5";"van der Wal-Zeggelink, C.";"435";"13";"9";"15";"53";"57";"12";"18";"14";"23";"29";"7";"16";"10";"15";"4";"2";"9";"71";"4";"11";"10";"10";"8";"11";"4"
;;"6";"Brekelmans, R.P.";"324";"18";"6";"6";"39";"54";"3";"8";"16";"26";"10";"1";"12";"2";"15";"2";"7";"6";"35";"3";"18";"6";"11";"6";"8";"6"
;;"7";"Heinen, E.";"79";"5";"0";"7";"12";"10";"1";"2";"2";"0";"1";"0";"1";"0";"7";"1";"2";"3";"8";"1";"5";"5";"2";"2";"1";"1"
;;"8";"de Vries, A.";"237";"8";"0";"7";"18";"31";"6";"10";"3";"8";"11";"8";"4";"2";"6";"1";"3";"7";"34";"3";"37";"7";"5";"5";"3";"10"
